society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
parsvnath green ville,3.3,sector 48,9984.0,3305.29,Super Built up area 3905(362.79 sq.m.)Built Up area: 3305 sq.ft. (307.04 sq.m.),5,5,3+,4,,Old Property,flat,3905.0,3305.0,,0,1,0,0,0,0,71
tata primanti,3.4,sector 72,15560.0,2185.09,Super Built up area 2185(202.99 sq.m.),3,4,3+,9,,Moderately Old,flat,2185.0,,,0,1,0,0,0,0,38
ats tourmaline,1.4,sector 109,8000.0,1750.0,Super Built up area 1750(162.58 sq.m.),3,3,3+,9,East,Relatively New,flat,1750.0,,,0,0,0,0,0,0,95
orris aster court,0.69,sector 85,5221.0,1321.59,Super Built up area 1312(121.89 sq.m.)Built Up area: 1075 sq.ft. (99.87 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),2,2,2,5,South-West,Relatively New,flat,1312.0,1075.0,975.0,0,0,0,0,0,0,37
vatika gurgaon,0.84,sector 83,6746.0,1245.18,Super Built up area 1245(115.66 sq.m.),2,2,2,7,East,Moderately Old,flat,1245.0,,,0,0,0,0,0,2,157
antriksh heights,1.02,sector 84,4868.0,2095.32,Super Built up area 2095(194.63 sq.m.),4,4,3+,11,North,Relatively New,flat,2095.0,,,0,1,0,1,0,0,99
nitin vihar,0.85,sector 33,9444.0,900.0,Plot area 900(83.61 sq.m.),3,2,0,1,West,Relatively New,house,,900.0,,0,0,0,0,0,0,15
ss the leaf,2.15,sector 85,7645.0,2812.3,Super Built up area 2812(261.24 sq.m.),4,5,3+,1,South,Relatively New,flat,2812.0,,,0,1,0,0,0,0,165
signature global solera,0.36,sector 107,5980.0,602.01,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.)Carpet area: 546 sq.ft. (50.73 sq.m.),2,2,1,7,North-West,Relatively New,flat,602.0,598.0,546.0,0,0,0,0,1,0,49
palam vihar extension west zone rwa,0.35,sector 2,6481.0,540.0,Plot area 600(55.74 sq.m.)Carpet area: 540 sq.ft. (50.17 sq.m.),2,2,0,1,North-East,New Property,house,,,540.0,0,0,0,0,0,0,0
supertech araville,0.9,sector 79,6950.0,1294.96,Built Up area: 1295 (120.31 sq.m.),2,2,0,12,,Undefined,flat,,1295.0,,0,0,0,0,0,0,0
godrej frontier,1.4,sector 80,6189.0,2262.08,Super Built up area 2262(210.15 sq.m.)Built Up area: 1922 sq.ft. (178.56 sq.m.)Carpet area: 1634 sq.ft. (151.8 sq.m.),3,4,2,6,South,Moderately Old,flat,2262.0,1922.0,1634.0,0,1,0,1,0,0,111
takshila heights sector 37 c,0.67,new,5583.0,1200.07,Super Built up area 1200(111.48 sq.m.),2,2,2,3,,Relatively New,flat,1200.0,,,0,0,0,0,0,0,23
corona gracieux,1.08,sector 76,5510.0,1960.07,Super Built up area 1960(182.09 sq.m.),3,3,3,1,,New Property,flat,1960.0,,,0,1,0,0,0,0,58
awho shanti vihar,0.8,sector 95,8888.0,900.09,Super Built up area 900(83.61 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,3,9,East,New Property,flat,900.0,,550.0,1,0,0,0,0,0,67
pioneer araya,9.95,sector 62,20995.0,4739.22,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4,6,3,12,South-East,Relatively New,flat,4739.0,,3219.0,0,1,0,1,0,2,138
sanskriti apartment,1.1,sector 10a,6666.0,1650.17,Carpet area: 1650 (153.29 sq.m.),3,3,3,2,,Moderately Old,flat,,,1650.0,0,0,0,0,0,0,22
dlf the skycourt,1.6,sector 86,8294.0,1929.11,Super Built up area 1929(179.21 sq.m.),3,3,1,14,North-East,Relatively New,flat,1929.0,,,0,0,0,1,0,0,72
shivpuri,2.4,sector 7,8889.0,2700.0,Plot area 300(250.84 sq.m.),10,5,3,2,North,Old Property,house,,2700.0,,1,1,0,1,0,0,8
bestech park view spa next,2.35,sector 67,12144.0,1935.11,Super Built up area 1935(179.77 sq.m.),3,4,3+,14,South-West,Moderately Old,flat,1935.0,,,0,1,0,0,0,2,156
signature global park,0.54,sohna road,7200.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4,North-East,Under Construction,flat,,,750.0,0,0,0,0,0,0,111
ansal api esencia,1.2,sector 67,7407.0,1620.09,Carpet area: 180 (150.5 sq.m.),3,3,2,1,,Undefined,flat,,,180.0,0,0,0,0,0,0,49
unitech uniworld resorts,10.0,sector 33,181818.0,550.0,Plot area 550(51.1 sq.m.),5,6,3,4,North-East,New Property,house,,550.0,,1,1,0,0,0,0,26
nul,15.0,sector 25,23437.0,6400.0,Built Up area: 6400 (594.58 sq.m.),5,5,3,2,West,Moderately Old,house,,6400.0,,1,1,0,1,0,2,112
indiabulls centrum park,1.15,sector 103,8679.0,1325.04,Super Built up area 1325(123.1 sq.m.)Carpet area: 865 sq.ft. (80.36 sq.m.),2,2,3,10,North-East,Relatively New,flat,1325.0,,865.0,1,0,0,0,0,2,174
signature global park,0.67,sohna road,5537.0,1210.04,Super Built up area 1210(112.41 sq.m.),2,2,3,4,North-East,Relatively New,flat,1210.0,,,0,0,0,1,0,0,127
emaar mgf emerald floors premier,2.25,sector 65,13636.0,1650.04,Super Built up area 1650(153.29 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,3,South-West,Relatively New,flat,1650.0,1600.0,1350.0,1,1,0,0,0,2,49
ss,2.09,sector 85,7432.0,2812.16,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,8,South-East,Relatively New,flat,2812.0,2600.0,2400.0,1,1,0,1,0,0,49
dlf regency park,1.6,sector 28,14545.0,1100.03,Carpet area: 1100 (102.19 sq.m.),2,2,2,3,North,Relatively New,flat,,,1100.0,0,0,0,0,0,0,52
bestech park view grand spa,4.5,sector 81,10714.0,4200.11,Super Built up area 4200(390.19 sq.m.),4,6,3+,17,,Relatively New,flat,4200.0,,,0,1,0,0,0,2,44
ireo uptown,2.4,sector 66,13064.0,1837.11,Super Built up area 1837(170.66 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,2,3,5,North-East,Relatively New,flat,1837.0,1700.0,1600.0,0,1,0,0,0,2,156
spaze privy at,1.2,sector 84,7453.0,1610.09,Super Built up area 1610(149.57 sq.m.),2,2,3,3,,Relatively New,flat,1610.0,,,1,0,0,0,0,2,133
independent,1.85,sector 1,16003.0,1156.0,Carpet area: 1156 (107.4 sq.m.),4,3,2,3,,Undefined,house,,,1156.0,0,0,0,0,0,0,0
signature global solera,0.28,sector 107,5828.0,480.44,Carpet area: 489 (45.43 sq.m.),2,2,2,0,North-East,Relatively New,flat,,,489.0,0,0,0,0,0,0,45
sapphire eighty three,0.4,sector 83,8547.0,468.0,Carpet area: 468 (43.48 sq.m.),1,1,1,6,North-East,Relatively New,flat,,,468.0,0,0,0,0,0,1,52
ss the leaf,1.78,sector 85,7392.0,2408.01,Super Built up area 2408(223.71 sq.m.),3,4,3+,6,West,New Property,flat,2408.0,,,0,0,1,0,0,0,113
zara aavaas,0.22,sector 104,7302.0,301.29,Carpet area: 301.28 (27.99 sq.m.),1,2,2,2,,New Property,flat,,,301.28156099999995,0,0,0,0,0,0,60
bptp astaire gardens,1.7,sector 70a,8947.0,1900.08,Carpet area: 1900 (176.52 sq.m.),4,3,3,1,North-East,Relatively New,flat,,,1900.0,0,0,0,0,0,2,49
oriental valley chs,1.5,sector 9a,8108.0,1850.02,Carpet area: 1850 (171.87 sq.m.),4,3,3+,8,,Moderately Old,flat,,,1850.0,0,0,0,0,0,0,35
zara aavaas,0.49,sector 104,6577.0,745.02,Super Built up area 745(69.21 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,7,,Under Construction,flat,745.0,,645.0,0,0,0,0,0,0,74
eldeco accolade,0.85,sohna road,6724.0,1264.13,Super Built up area 1264(117.43 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),2,2,3,10,,New Property,flat,1264.0,,730.0,0,0,0,0,0,0,72
dlf exclusive floors,2.35,sector 43,14242.0,1650.05,Super Built up area 1650(153.29 sq.m.)Carpet area: 1405 sq.ft. (130.53 sq.m.),3,3,2,1,North-East,Old Property,flat,1650.0,,1405.0,0,0,1,0,0,2,102
signature global city,1.27,sector 37d,8089.0,1570.0,Plot area 1570(145.86 sq.m.),3,3,3,4,East,Under Construction,house,,1570.0,,0,0,0,1,0,0,89
international city by sobha phase 2,11.3,sector 109,25111.0,4500.0,Plot area 500(418.06 sq.m.)Built Up area: 480 sq.yards (401.34 sq.m.)Carpet area: 460 sq.yards (384.62 sq.m.),7,5,3+,4,East,Relatively New,house,,480.0,460.0,1,1,0,1,1,0,49
independent,2.15,sector 40,23889.0,900.0,Plot area 100(83.61 sq.m.),3,3,3,3,,Moderately Old,house,,900.0,,1,0,1,1,0,0,45
satya the hermitage,0.89,sector 103,6137.0,1450.22,Super Built up area 1450(134.71 sq.m.)Carpet area: 1081 sq.ft. (100.43 sq.m.),2,3,3,1,,Relatively New,flat,1450.0,,1081.0,0,1,0,0,0,2,75
independent,0.92,sector 3,15257.0,603.0,Built Up area: 603 (56.02 sq.m.),4,1,0,1,,Undefined,house,,603.0,,0,0,0,0,0,0,0
supertech araville,1.35,sector 79,6940.0,1945.24,Carpet area: 1945 (180.7 sq.m.),3,3,3,4,,Relatively New,flat,,,1945.0,0,0,0,0,0,0,0
independent,5.5,sector 46,23061.0,2385.0,Plot area 265(221.57 sq.m.),8,8,3+,3,,Moderately Old,house,,2385.0,,1,0,0,0,1,2,32
vatika the seven lamps,1.37,sector 82,8753.0,1565.18,Super Built up area 2160(200.67 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1565 sq.ft. (145.39 sq.m.),3,3,3,11,South,Relatively New,flat,2160.0,2000.0,1565.0,1,1,0,1,0,2,145
hero homes,1.95,sector 104,21195.0,920.0,Plot area 920(85.47 sq.m.),3,5,3+,2,,Moderately Old,house,,920.0,,0,0,0,0,0,0,64
independent,1.7,sector 12,8000.0,2125.0,Built Up area: 2000 (185.81 sq.m.),5,5,3,3,,Moderately Old,house,,2000.0,,0,0,0,1,1,0,9
godrej summit,1.75,sector 104,7530.0,2324.04,Carpet area: 2324 (215.91 sq.m.),4,5,3+,1,,New Property,flat,,,2324.0,0,1,0,0,0,0,60
ansal housing highland park,0.8,sector 103,5878.0,1361.01,Built Up area: 1361 (126.44 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),2,2,2,9,South-East,Undefined,flat,,1361.0,1300.0,0,0,0,0,0,0,0
cghs vidya enclave,1.7,sector 56,10967.0,1550.1,Super Built up area 1600(148.64 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,2,3,6,,Old Property,flat,1600.0,,1550.0,0,0,1,0,0,0,101
bestech park view residency,0.56,sector 2,8632.0,648.75,Carpet area: 651 (60.48 sq.m.),1,1,2,6,South,Moderately Old,flat,,,651.0,0,0,0,0,0,0,77
vatika gurgaon,1.15,sector 83,5808.0,1980.03,Super Built up area 1980(183.95 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1308 sq.ft. (121.52 sq.m.),3,3,2,3,South,Relatively New,flat,1980.0,1350.0,1308.0,1,1,1,1,0,2,165
unitech aspen greens,6.8,sector 50,31481.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,5,3,3,West,Old Property,house,,220.0,200.0,1,1,0,0,0,2,111
bptp terra,2.08,sector 37d,10000.0,2080.0,Super Built up area 2443(226.96 sq.m.),4,4,3,0,North-East,New Property,flat,2443.0,,,1,1,0,1,0,0,121
dlf regal gardens,1.76,sector 90,7945.0,2215.23,Super Built up area 2215(205.78 sq.m.)Built Up area: 2020 sq.ft. (187.66 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),4,4,3+,8,North,Relatively New,flat,2215.0,2020.0,1670.0,0,0,0,0,0,2,135
today callidora,0.9,sector 73,5548.0,1622.21,Built Up area: 1622 (150.69 sq.m.),3,3,3,3,East,Under Construction,flat,,1622.0,,0,1,0,0,0,0,63
dlf the ultima,3.45,sector 81,12012.0,2872.13,Super Built up area 2872(266.82 sq.m.),4,4,3+,10,East,New Property,flat,2872.0,,,0,1,0,0,0,1,165
puri the aravallis,3.9,sector 61,33209.0,1174.38,Carpet area: 1249.65 (116.1 sq.m.),3,4,3+,33,South,Under Construction,flat,,,1249.68879,0,1,0,0,0,0,158
ss the leaf,1.75,sector 85,7267.0,2408.15,Super Built up area 2408(223.71 sq.m.),3,4,3,8,North,Relatively New,flat,2408.0,,,0,1,0,0,0,0,49
godrej summit,1.3,sector 104,9027.0,1440.12,Super Built up area 1440(133.78 sq.m.),3,2,3+,16,,Relatively New,flat,1440.0,,,1,0,1,1,0,2,0
independent,5.5,sector 43,28424.0,1935.0,Plot area 215(179.77 sq.m.),1,1,0,1,South-West,Old Property,house,,1935.0,,0,0,0,0,1,0,12
independent,5.0,sector 55,44444.0,1125.0,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9,9,3+,5,East,New Property,house,,115.0,100.0,0,0,0,0,1,2,44
independent,4.5,sector 28,125000.0,360.0,Built Up area: 360 (33.45 sq.m.),4,4,0,4,,Undefined,house,,360.0,,0,0,0,0,0,0,0
s aradhya homes,1.9,sector 67a,8863.0,2143.74,Super Built up area 2200(204.39 sq.m.),4,4,3,3,,New Property,flat,2200.0,,,0,0,0,0,0,2,62
independent,6.75,sector 26,27778.0,2430.0,Plot area 270(225.75 sq.m.),3,3,3,2,North-East,Moderately Old,house,,2430.0,,0,0,0,0,0,0,27
krisumi waterfall residences,2.3,sector 36a,15551.0,1479.0,Built Up area: 1479 (137.4 sq.m.),2,2,2,23,,Undefined,flat,,1479.0,,0,0,0,0,0,0,58
ireo skyon,2.85,sector 60,13936.0,2045.06,Super Built up area 2045(189.99 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1490 sq.ft. (138.43 sq.m.),3,4,3+,5,South,Relatively New,flat,2045.0,1640.0,1490.0,0,1,0,0,0,2,174
chd avenue,1.12,sector 71,6215.0,1802.09,Super Built up area 1802(167.41 sq.m.),3,4,3,0,South-East,Moderately Old,flat,1802.0,,,0,1,0,0,0,0,65
vatika signature villas,3.2,sector 82,14351.0,2230.0,Plot area 2160(200.67 sq.m.),3,4,3,1,,New Property,house,,2160.0,,1,1,1,1,0,0,66
ss,2.17,sector 85,7716.0,2812.34,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,7,North,Relatively New,flat,2812.0,2600.0,2400.0,1,1,0,1,0,0,49
ss the leaf,1.09,sector 85,6661.0,1636.39,Super Built up area 1640(152.36 sq.m.)Built Up area: 1475 sq.ft. (137.03 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2,2,3,5,North-East,Relatively New,flat,1640.0,1475.0,1350.0,0,0,0,0,0,0,49
unitech espace,7.5,sector 50,34722.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 241 sq.yards (201.51 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),3,3,2,2,West,Moderately Old,house,,241.0,240.0,0,1,0,0,0,2,66
signature global solera,0.51,sector 107,7906.0,645.08,Carpet area: 645 (59.92 sq.m.),3,2,2,9,South,Relatively New,flat,,,645.0,0,0,0,0,1,0,15
experion the heartsong,0.98,sector 108,13343.0,734.47,Built Up area: 978.23 (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,12,South-East,Relatively New,flat,,978.2232319999999,734.43,1,1,1,1,0,2,31
breez global heights,0.46,sohna road,4842.0,950.02,Super Built up area 950(88.26 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,2,4,North-East,Relatively New,flat,950.0,800.0,700.0,0,0,0,0,0,1,93
shree vardhman victoria,1.78,sector 70,9128.0,1950.04,Super Built up area 1950(181.16 sq.m.),3,3,3+,7,North-East,Relatively New,flat,1950.0,,,0,1,0,0,1,0,49
ireo skyon,3.6,sector 60,12815.0,2809.21,Super Built up area 2809(260.96 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,5,3,24,North-East,Relatively New,flat,2809.0,,2400.0,0,1,0,0,0,2,49
essel towers,2.75,sector 14,12500.0,2200.0,Built Up area: 2200 (204.39 sq.m.),4,5,3+,8,East,Old Property,flat,,2200.0,,1,1,0,0,0,1,128
supertech hues,1.0,sector 68,8474.0,1180.08,Carpet area: 1180 (109.63 sq.m.),2,2,3,23,,New Property,flat,,,1180.0,0,0,0,0,0,0,49
signature global orchard avenue 2,,sector 93,,,Carpet area: 577.11 (53.62 sq.m.),2,2,3,11,East,Under Construction,flat,,,577.160318,0,0,0,0,0,0,104
vipul tatvam villa,8.5,sector 48,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,4,2,,East,Moderately Old,house,,3240.0,,0,1,1,1,0,0,88
signature global city 63a,1.5,sector 63,6289.0,2385.0,Built Up area: 2385 (221.57 sq.m.),3,3,2,1,,New Property,house,,2385.0,,0,0,0,0,0,0,0
ashiana anmol,0.93,sohna road,7294.0,1275.02,Super Built up area 1275(118.45 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 875 sq.ft. (81.29 sq.m.),2,2,2,9,,Under Construction,flat,1275.0,1000.0,875.0,0,0,0,0,1,0,31
independent,3.25,sector 56,21495.0,1512.0,Plot area 168(140.47 sq.m.),5,6,3+,4,East,Relatively New,house,,1512.0,,0,0,0,1,1,2,27
dlf the ultima,2.34,sector 81,11185.0,2092.09,Super Built up area 2092(194.35 sq.m.)Built Up area: 1760 sq.ft. (163.51 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3+,14,South-East,Relatively New,flat,2092.0,1760.0,1670.0,0,1,0,0,0,1,174
smart world orchard,1.65,sector 61,13750.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,1,,Under Construction,flat,,,1200.0,1,0,0,0,0,0,16
ss the leaf,2.1,sector 85,7467.0,2812.37,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,7,North,Relatively New,flat,2812.0,2600.0,2400.0,1,1,0,1,0,0,49
signature global solera 2,0.51,sector 107,9.0,566666.67,Carpet area: 514396 (47788.95 sq.m.),2,2,1,3,North,New Property,flat,,,514396.0,0,0,0,0,0,0,44
hector trimurti heights,1.5,sector 39,6382.0,2350.36,Carpet area: 2350 (218.32 sq.m.),4,3,3,10,South-East,Old Property,flat,,,2350.0,0,1,0,0,0,1,49
umang monsoon breeze,1.2,sector 78,6493.0,1848.14,Super Built up area 2250(209.03 sq.m.)Carpet area: 1848 sq.ft. (171.68 sq.m.),3,3,2,8,,Moderately Old,flat,2250.0,,1848.0,0,0,0,1,0,1,8
signature global solera,0.49,sector 107,8222.0,595.96,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.),2,2,1,8,South-West,Relatively New,flat,602.0,598.0,,0,0,0,0,1,1,49
