society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
godrej summit,0.85,sector 104,5878.0,1446.07,Super Built up area 1446(134.34 sq.m.)Built Up area: 1269 sq.ft. (117.89 sq.m.)Carpet area: 777 sq.ft. (72.19 sq.m.),2,2,3+,10.0,East,Relatively New,flat,1446.0,1269.0,777.0,1,0,0,0,0,0,79,723.035
smart world gems,0.86,sector 89,7796.0,1103.13,Super Built up area 1103(102.47 sq.m.),2,3,3,4.0,,Under Construction,flat,1103.0,,,0,0,0,0,0,0,45,551.565
palam vihar extension west zone rwa,0.4,sector 2,4444.0,900.0,Plot area 900(83.61 sq.m.),3,4,2,2.0,West,Moderately Old,house,,900.0,,0,0,0,0,0,0,36,300.0
rof ananda,0.31,sector 95,5644.0,549.26,Carpet area: 549.16 (51.02 sq.m.),2,2,1,5.0,North,Relatively New,flat,,,549.174178,0,0,0,1,0,2,74,274.63
apna enclave,0.5,sector 3,7692.0,650.03,Carpet area: 650 (60.39 sq.m.),2,2,1,1.0,West,Old Property,flat,,,650.0,0,0,0,0,0,2,37,325.015
ashiana apartment,0.16,sector 23,2051.0,780.11,Super Built up area 780(72.46 sq.m.),2,2,2,1.0,,Moderately Old,flat,780.0,,,0,0,0,0,0,0,0,390.055
vatika the seven lamps,0.89,sector 82,8850.0,1005.65,Super Built up area 1428.08(132.67 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,14.0,East,Relatively New,flat,1428.08,,1000.0,1,0,0,0,0,2,129,502.825
independent,1.3,sector 105,11556.0,1125.0,Built Up area: 1125 (104.52 sq.m.),3,3,1,1.0,East,Undefined,house,,1125.0,,0,0,0,0,0,0,0,375.0
ireo skyon,2.5,sector 60,16129.0,1550.0,Super Built up area 1550(144 sq.m.),2,3,2,4.0,North-West,Relatively New,flat,1550.0,,,1,0,0,0,0,0,100,775.0
tata primanti,8.6,sector 72,12286.0,7000.0,Built Up area: 7000 (650.32 sq.m.),4,5,3+,3.0,,Relatively New,house,,7000.0,,0,0,0,0,0,2,30,1750.0
imperia the esfera,0.86,sector 37c,5449.0,1578.27,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,South-East,Relatively New,flat,1578.0,,1310.0,1,0,0,0,1,0,49,789.135
sbtl caladium,1.2,sector 109,6382.0,1880.29,Super Built up area 1880(174.66 sq.m.),3,2,2,8.0,South,Relatively New,flat,1880.0,,,0,0,0,0,0,0,151,626.7633333333333
ats tourmaline,1.4,sector 109,8000.0,1750.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3+,8.0,North-East,Relatively New,flat,1750.0,1466.0,1350.0,0,0,1,0,0,0,119,583.3333333333334
signature the serenas,0.45,sohna road,8474.0,531.04,Carpet area: 531 (49.33 sq.m.),2,2,1,10.0,,New Property,flat,,,531.0,0,0,0,0,0,0,23,265.52
signature global park,0.72,sohna road,5991.0,1201.8,Super Built up area 1210(112.41 sq.m.),2,2,3,3.0,North-West,Relatively New,flat,1210.0,,,0,0,0,1,0,0,158,600.9
independent,6.0,sector 26,33333.0,1800.0,Plot area 200(167.23 sq.m.),3,5,3+,3.0,,Old Property,house,,1800.0,,0,0,0,0,0,2,9,600.0
antriksh heights,0.9,sector 84,4931.0,1825.19,Super Built up area 1825(169.55 sq.m.),3,3,3,11.0,South,Relatively New,flat,1825.0,,,0,0,0,0,0,0,87,608.3966666666666
central park 2 bellevue,5.0,sector 48,11627.0,4300.34,Carpet area: 4300 (399.48 sq.m.),3,4,3,14.0,North-East,Moderately Old,flat,,,4300.0,0,0,0,0,0,0,82,1433.4466666666667
m3m heights,2.78,sector 65,15200.0,1828.95,Super Built up area 1828(169.83 sq.m.),3,3,3,44.0,,Undefined,flat,1828.0,,,0,0,0,0,0,0,56,609.65
tata primanti,4.0,sector 72,13769.0,2905.08,Super Built up area 2905(269.88 sq.m.)Built Up area: 2800 sq.ft. (260.13 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,5,3+,9.0,North-East,Relatively New,flat,2905.0,2800.0,2500.0,0,1,0,0,0,2,165,726.27
dlf the ultima,2.12,sector 81,10080.0,2103.17,Super Built up area 2103(195.38 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,9.0,South,Relatively New,flat,2103.0,1650.0,1257.0,1,1,0,1,1,1,49,701.0566666666667
unitech palms south city 1,9.25,sector 41,28549.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3+,4.0,North,Moderately Old,house,,5000.0,4500.0,1,1,1,1,0,2,65,360.0
ramsons kshitij,0.29,sector 95,5178.0,560.06,Super Built up area 560(52.03 sq.m.),2,2,2,14.0,,Relatively New,flat,560.0,,,0,0,0,0,0,0,50,280.03
ambience creacions,3.99,sector 22,12912.0,3090.15,Super Built up area 3090(287.07 sq.m.),3,5,3+,3.0,,New Property,flat,3090.0,,,0,1,0,0,0,1,102,1030.05
afnhb jalvayu vihar,0.69,sector 30,7272.0,948.84,Super Built up area 990(91.97 sq.m.),2,2,1,3.0,North-East,Old Property,flat,990.0,,,0,0,0,0,0,0,65,474.42
smart world orchard,1.7,sector 61,15178.0,1120.04,Carpet area: 1120 (104.05 sq.m.),2,2,2,4.0,East,Under Construction,flat,,,1120.0,1,0,0,0,0,0,127,560.02
international city by sobha phase 2,9.5,sector 109,26389.0,3600.0,Plot area 400(334.45 sq.m.),7,6,3,3.0,West,Relatively New,house,,3600.0,,1,1,0,1,0,0,138,514.2857142857143
signature global park,0.54,sohna road,7248.0,745.03,Carpet area: 745 (69.21 sq.m.),2,1,3,1.0,,New Property,flat,,,745.0,0,0,0,0,0,0,65,372.515
vatika the seven lamps,1.6,sector 82,6597.0,2425.34,Super Built up area 2425(225.29 sq.m.),4,5,3+,8.0,South-West,Relatively New,flat,2425.0,,,0,1,0,0,0,0,133,606.335
m3m woodshire,1.32,sector 107,6330.0,2085.31,Super Built up area 1943(180.51 sq.m.),3,3,3,10.0,East,Relatively New,flat,1943.0,,,0,0,0,0,0,0,117,695.1033333333334
signature global city 63a,1.65,sector 63a,15263.0,1081.05,Super Built up area 1081(100.43 sq.m.),2,2,2,1.0,,Under Construction,flat,1081.0,,,0,0,0,0,0,0,0,540.525
independent,1.55,sohna road,14720.0,1053.0,Plot area 117(97.83 sq.m.),2,3,2,1.0,North,New Property,house,,1053.0,,1,0,0,1,0,2,49,526.5
bptp mansions park prime,2.7,sector 66,9768.0,2764.13,Super Built up area 2764(256.78 sq.m.),4,4,3,6.0,,Relatively New,flat,2764.0,,,0,1,0,0,1,0,13,691.0325
ardee city,1.55,sector 52,7381.0,2099.99,Built Up area: 2100 (195.1 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,4,3,1.0,,Moderately Old,flat,,2100.0,1600.0,0,0,0,0,0,0,0,524.9975
ansal sushant residency,1.5,sector 57,6775.0,2214.02,Carpet area: 246 (205.69 sq.m.),3,2,3+,1.0,,Moderately Old,flat,,,246.0,0,0,0,0,0,0,87,738.0066666666667
smart world gems,0.9,sector 89,8159.0,1103.08,Super Built up area 1103(102.47 sq.m.),2,2,2,2.0,East,New Property,flat,1103.0,,,1,0,0,0,1,0,44,551.54
sare crescent parc,0.51,sector 92,4080.0,1250.0,Super Built up area 1250(116.13 sq.m.),3,2,2,2.0,North,Relatively New,flat,1250.0,,,0,0,0,0,0,0,72,416.6666666666667
puri diplomatic greens,2.65,sector 111,13589.0,1950.11,Super Built up area 2215(205.78 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3,4,2,7.0,West,Relatively New,flat,2215.0,,1950.0,0,1,0,0,0,2,159,650.0366666666666
suncity avenue,0.48,sector 102,9022.0,532.03,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5.0,North-East,Relatively New,flat,632.0,,532.0,0,0,1,0,0,0,159,266.015
sare crescent parc,0.92,sector 92,4854.0,1895.34,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,5,3+,14.0,North-East,Moderately Old,flat,,1895.0,1600.0,0,0,0,0,0,2,131,473.835
ramsons kshitij,0.4,sector 95,5839.0,685.05,Carpet area: 685 (63.64 sq.m.),3,2,2,6.0,,Undefined,flat,,,685.0,0,0,0,0,0,0,0,228.35
umang monsoon breeze,0.95,sector 78,5491.0,1730.1,Built Up area: 1730 (160.72 sq.m.),3,3,2,9.0,East,Relatively New,flat,,1730.0,,0,0,0,0,0,2,65,576.6999999999999
nbcc heights,0.75,sector 89,6578.0,1140.16,Super Built up area 1140(105.91 sq.m.),2,2,2,6.0,,Moderately Old,flat,1140.0,,,0,0,0,0,0,0,0,570.08
hcbs sports ville,0.32,sohna road,6165.0,519.06,Carpet area: 519 (48.22 sq.m.),2,2,2,2.0,,New Property,flat,,,519.0,0,0,0,0,0,0,37,259.53
green court,0.45,sector 90,7188.0,626.04,Carpet area: 626 (58.16 sq.m.),2,2,1,2.0,,New Property,flat,,,626.0,0,0,0,0,0,2,42,313.02
independent,0.34,sector 110,6800.0,500.0,Built Up area: 500 (46.45 sq.m.),1,1,0,1.0,,Undefined,house,,500.0,,0,0,0,0,0,0,0,500.0
bptp visionnaire,4.7,sector 70a,18008.0,2610.0,Plot area 290(242.48 sq.m.),4,4,3+,3.0,North-East,New Property,house,,2610.0,,0,0,0,0,1,0,35,652.5
ss,2.1,sector 85,7467.0,2812.37,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,2.0,North-West,Relatively New,flat,2812.0,2600.0,2400.0,0,0,0,0,0,0,49,703.0925
international city by sobha phase 1,5.5,sector 109,21603.0,2546.0,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,New Property,house,,2430.0,,0,1,0,0,0,0,61,636.5
prasha apartments,0.75,manesar,3309.0,2266.55,Super Built up area 2115(196.49 sq.m.),3,3,3+,3.0,West,Moderately Old,flat,2115.0,,,0,1,0,0,0,0,31,755.5166666666668
shree vardhman flora,1.3,sector 90,5252.0,2475.25,Super Built up area 2475(229.94 sq.m.)Carpet area: 1825 sq.ft. (169.55 sq.m.),4,5,2,9.0,North-East,Relatively New,flat,2475.0,,1825.0,1,1,0,0,0,0,110,618.8125
godrej,1.29,sector 79,8206.0,1572.02,Super Built up area 1572(146.04 sq.m.),2,2,3,4.0,,New Property,flat,1572.0,,,0,0,0,0,0,0,0,786.01
m3m the marina,1.02,sector 68,8095.0,1260.04,Super Built up area 1260(117.06 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,2,11.0,North-East,Relatively New,flat,1260.0,1250.0,800.0,0,0,0,0,1,2,49,630.02
signature global city 63a,1.4,sector 63a,11336.0,1235.0,Carpet area: 1235 (114.74 sq.m.),2,2,2,3.0,East,Under Construction,flat,,,1235.0,0,0,0,0,1,0,0,617.5
godrej,1.3,sector 79,8269.0,1572.14,Super Built up area 1572(146.04 sq.m.),2,2,3,3.0,North-East,New Property,flat,1572.0,,,1,0,0,0,0,0,49,786.07
breez global heights,0.21,sohna road,5329.0,394.07,Carpet area: 394 (36.6 sq.m.),1,1,1,2.0,,Relatively New,flat,,,394.0,0,0,0,0,0,0,21,394.07
sare homes,0.65,sector 92,4587.0,1417.05,Carpet area: 1417 (131.64 sq.m.),3,3,2,3.0,,Relatively New,flat,,,1417.0,0,0,0,0,0,0,6,472.34999999999997
emaar palm heights,1.79,sector 77,8839.0,2025.12,Super Built up area 2025(188.13 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1548 sq.ft. (143.81 sq.m.),3,3,3,1.0,North-East,New Property,flat,2025.0,1600.0,1548.0,0,1,0,0,0,2,49,675.04
suncity avenue 76,0.55,sector 76,7422.0,741.04,Carpet area: 741 (68.84 sq.m.),2,2,2,9.0,North-East,Under Construction,flat,,,741.0,0,0,0,0,0,0,26,370.52
signature global park 4,0.72,sector 36,6428.0,1120.1,Carpet area: 1120 (104.05 sq.m.),3,2,3,2.0,,Under Construction,flat,,,1120.0,0,0,0,0,0,0,0,373.3666666666666
aipl the peaceful homes,2.8,sector 70a,11914.0,2350.18,Super Built up area 2350(218.32 sq.m.)Carpet area: 1322 sq.ft. (122.82 sq.m.),3,4,3,22.0,North-East,Relatively New,flat,2350.0,,1322.0,0,1,0,0,0,0,49,783.3933333333333
dlf new town heights,1.8,sector 90,6600.0,2727.27,Super Built up area 2727(253.35 sq.m.),4,4,3+,23.0,,Moderately Old,flat,2727.0,,,0,0,0,0,0,0,67,681.8175
godrej oasis,1.29,sector 88a,7800.0,1653.85,Super Built up area 1629(151.34 sq.m.)Carpet area: 1628 sq.ft. (151.25 sq.m.),3,3,3,5.0,,New Property,flat,1629.0,,1628.0,1,0,0,0,1,0,65,551.2833333333333
parsvnath exotica,6.44,sector 53,19000.0,3389.47,Super Built up area 3390(314.94 sq.m.),4,4,3,7.0,West,Moderately Old,flat,3390.0,,,0,1,0,0,0,2,80,847.3675
emaar mgf emerald floors premier,2.35,sector 65,14242.0,1650.05,Carpet area: 1650 (153.29 sq.m.),3,3,3,3.0,East,Relatively New,flat,,,1650.0,1,1,0,0,0,2,124,550.0166666666667
trisara our homes 3,0.36,sohna road,5980.0,602.01,Super Built up area 602(55.93 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),2,2,1,1.0,,New Property,flat,602.0,,450.0,0,0,0,0,0,0,45,301.005
conscient heritage max,1.9,sector 102,9783.0,1942.14,Super Built up area 1942(180.42 sq.m.),3,4,3+,20.0,North-East,Relatively New,flat,1942.0,,,0,1,0,0,0,0,165,647.38
conscient heritage max,1.75,sector 102,9062.0,1931.14,Super Built up area 1931(179.4 sq.m.),3,4,3+,16.0,South,Relatively New,flat,1931.0,,,0,1,0,0,0,2,134,643.7133333333334
smart world gems,1.2,sector 89,8433.0,1422.98,Built Up area: 1423 (132.2 sq.m.)Carpet area: 920 sq.ft. (85.47 sq.m.),3,3,2,2.0,East,Undefined,flat,,1423.0,920.0,0,0,0,0,0,0,45,474.32666666666665
dlf floors phase 3,3.51,sector 24,12342.0,2844.0,Plot area 316(264.22 sq.m.),4,4,3,4.0,East,Under Construction,house,,2844.0,,1,1,1,1,0,2,160,711.0
tulip purple,1.92,sector 69,8000.0,2400.0,Super Built up area 2400(222.97 sq.m.),4,5,3+,5.0,East,Relatively New,flat,2400.0,,,0,1,0,0,0,2,158,600.0
tulip violet,1.55,sector 69,9822.0,1578.09,Super Built up area 1578(146.6 sq.m.),3,3,2,0.0,West,Relatively New,flat,1578.0,,,0,0,0,1,0,2,129,526.03
conscient one,1.7,sector 109,17617.0,964.98,Built Up area: 965 (89.65 sq.m.)Carpet area: 628 sq.ft. (58.34 sq.m.),1,1,2,9.0,,Undefined,flat,,965.0,628.0,0,0,0,0,0,0,0,964.98
ansals palam vihar,4.0,sector 2,16667.0,2400.0,Plot area 2400(222.97 sq.m.),4,4,3+,2.0,North-East,Moderately Old,house,,2400.0,,0,1,0,0,0,0,0,600.0
umang monsoon breeze,0.7,sector 78,5719.0,1223.99,Built Up area: 1224 (113.71 sq.m.),2,2,2,5.0,,Undefined,flat,,1224.0,,0,0,0,0,0,0,0,611.995
umang monsoon breeze,0.88,sector 78,4746.0,1854.19,Super Built up area 1854(172.24 sq.m.)Built Up area: 1668 sq.ft. (154.96 sq.m.)Carpet area: 1501 sq.ft. (139.45 sq.m.),3,4,3,8.0,North-West,Moderately Old,flat,1854.0,1668.0,1501.0,0,1,0,1,0,0,111,618.0633333333334
om apartment dayanand colony,0.26,sector 5,4373.0,594.56,Carpet area: 583 (54.16 sq.m.),1,1,1,3.0,North-East,Relatively New,flat,,,583.0,0,0,0,0,0,0,14,594.56
experion the heartsong,1.2,sector 108,6825.0,1758.24,Super Built up area 1758(163.32 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,2,3+,11.0,North-East,Relatively New,flat,1758.0,1550.0,1400.0,0,1,0,1,0,2,174,586.08
vipul tatvam villa,18.5,sector 48,26429.0,7000.0,Plot area 7000(650.32 sq.m.),4,4,1,1.0,,Moderately Old,house,,7000.0,,0,0,0,0,0,0,30,1750.0
supertech araville,1.1,sector 79,5641.0,1950.01,Carpet area: 1950 (181.16 sq.m.),3,3,3,1.0,,Relatively New,flat,,,1950.0,0,0,0,0,0,2,106,650.0033333333333
emaar mgf emerald floors,2.6,sector 65,15758.0,1649.96,Carpet area: 1650 (153.29 sq.m.),3,3,3+,3.0,East,Undefined,flat,,,1650.0,0,0,0,0,0,0,0,549.9866666666667
bestech park view residency,1.18,sector 2,7539.0,1565.19,Super Built up area 1565(145.39 sq.m.),2,2,3,5.0,East,Old Property,flat,1565.0,,,1,0,0,0,0,0,76,782.595
vatika gurgaon,0.83,sector 83,6666.0,1245.12,Super Built up area 1245(115.66 sq.m.)Built Up area: 1154 sq.ft. (107.21 sq.m.)Carpet area: 945 sq.ft. (87.79 sq.m.),2,2,2,12.0,North,Relatively New,flat,1245.0,1154.0,945.0,0,0,0,1,0,0,165,622.56
vipul tatvam villa,5.5,sector 48,21219.0,2592.0,Plot area 288(240.8 sq.m.),3,6,2,2.0,North,Moderately Old,house,,2592.0,,0,1,0,0,1,2,106,864.0
dlf city plots phase 3,1.6,sector 24,3292.0,4860.0,Plot area 540(50.17 sq.m.)Built Up area: 540 sq.ft. (50.17 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),8,5,3+,4.0,East,Old Property,house,,540.0,500.0,0,0,0,0,0,0,8,607.5
ats triumph,1.75,sector 104,7641.0,2290.28,Super Built up area 2290(212.75 sq.m.),3,4,3+,11.0,South-East,Relatively New,flat,2290.0,,,0,1,0,0,0,0,110,763.4266666666667
emaar mgf emerald floors premier,2.85,sector 65,14430.0,1975.05,Super Built up area 1975(183.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.),4,4,3,2.0,South-West,Relatively New,flat,1975.0,1800.0,,1,1,0,0,0,0,21,493.7625
aipl the peaceful homes,2.4,sector 70a,11162.0,2150.15,Super Built up area 2150(199.74 sq.m.),3,3,3,11.0,South-West,Relatively New,flat,2150.0,,,0,1,0,0,0,0,108,716.7166666666667
dlf regency park,2.3,sector 28,11817.0,1946.35,Built Up area: 1777 (165.09 sq.m.),3,3,3,7.0,North-East,Moderately Old,flat,,1777.0,,0,1,0,0,0,0,117,648.7833333333333
sidhivinayak apartments,1.9,sector 55,10555.0,1800.09,Carpet area: 1800 (167.23 sq.m.),4,3,3+,9.0,North,Moderately Old,flat,,,1800.0,0,0,0,1,0,1,35,450.0225
shri shyam residency,0.62,sector 104,12400.0,500.0,Plot area 500(46.45 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),3,3,1,2.0,,Moderately Old,house,,900.0,480.0,0,0,0,0,1,1,8,166.66666666666666
godrej air,1.05,sector 85,10603.0,990.29,Built Up area: 97 Carpet area: 92 sq.m.,2,2,1,15.0,East,Under Construction,flat,,97.0,92.0,0,0,0,0,0,0,45,495.145
smart world gems,1.0,sector 89,9033.0,1107.05,Carpet area: 1107 (102.84 sq.m.),2,2,2,1.0,,Under Construction,flat,,,1107.0,1,0,0,0,0,0,38,553.525
microtek greenburg,1.65,sector 86,8707.0,1895.03,Super Built up area 1895(176.05 sq.m.),3,4,3,8.0,North-West,Relatively New,flat,1895.0,,,0,1,0,0,0,0,124,631.6766666666666
ramprastha city,1.3,dwarka expressway,9027.0,1440.12,Super Built up area 1440(133.78 sq.m.),3,3,2,3.0,,Under Construction,flat,1440.0,,,0,0,0,0,0,0,0,480.03999999999996
indiabulls centrum park,1.65,sector 103,8250.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,15.0,,Relatively New,flat,2000.0,,1400.0,1,0,0,0,0,0,38,666.6666666666666
bestech park view sanskruti,1.55,sector 92,7769.0,1995.11,Super Built up area 1995(185.34 sq.m.),3,4,3,8.0,North,Relatively New,flat,1995.0,,,0,1,0,0,0,0,49,665.0366666666666
dlf city plots phase 2,4.25,sector 25,31481.0,1350.0,Plot area 150(125.42 sq.m.),3,2,3,2.0,North,Old Property,house,,1350.0,,1,0,0,0,0,0,35,450.0
eldeco accolade,0.71,sohna road,5607.0,1266.27,Super Built up area 1275(118.45 sq.m.),2,2,3,10.0,North-East,Relatively New,flat,1275.0,,,0,0,0,0,0,0,159,633.135
independent,10.45,sector 50,38704.0,2700.0,Plot area 2700(250.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.),4,5,2,3.0,North,Moderately Old,house,,4000.0,,1,1,0,1,0,2,142,675.0
ansal heights 86,0.78,sector 86,5735.0,1360.07,Built Up area: 1360 (126.35 sq.m.),2,2,2,8.0,North,New Property,flat,,1360.0,,0,0,0,0,0,0,72,680.035
shapoorji pallonji joyville gurugram,2.5,sector 102,14000.0,1785.71,Super Built up area 1827(169.73 sq.m.),3,3,3,15.0,,Under Construction,flat,1827.0,,,0,0,0,0,0,0,151,595.2366666666667
emaar mgf palm hills,1.25,sector 77,8620.0,1450.12,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),3,4,3,3.0,North,Relatively New,flat,1450.0,,1177.0,1,1,0,0,0,0,49,483.3733333333333
ss the leaf,1.18,sector 85,10094.0,1169.01,Super Built up area 1671(155.24 sq.m.)Built Up area: 1420 sq.ft. (131.92 sq.m.)Carpet area: 1169 sq.ft. (108.6 sq.m.),2,3,3,12.0,North,Relatively New,flat,1671.0,1420.0,1169.0,0,0,0,1,0,2,150,584.505
tulip violet,1.43,sector 69,8886.0,1609.27,Super Built up area 1608(149.39 sq.m.),3,3,2,1.0,North-West,Relatively New,flat,1608.0,,,0,0,0,1,0,0,86,536.4233333333333
independent,3.5,sector 3,9211.0,3800.0,Built Up area: 3800 (353.03 sq.m.),1,1,0,1.0,,Undefined,house,,3800.0,,0,0,0,0,0,0,0,3800.0
pioneer park,2.0,sector 61,11764.0,1700.1,Super Built up area 1700(157.94 sq.m.),3,3,3,24.0,North-West,Moderately Old,flat,1700.0,,,0,0,0,0,0,2,75,566.6999999999999
raheja vedaanta,0.7,sector 108,4522.0,1547.99,Built Up area: 1548 (143.81 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,1.0,West,Undefined,flat,,1548.0,1200.0,0,0,0,0,0,0,0,773.995
smart world gems,1.13,sector 89,8500.0,1329.41,Carpet area: 1326 (123.19 sq.m.),3,3,2,4.0,,Under Construction,flat,,,1326.0,1,0,0,0,0,0,115,443.1366666666667
signature global synera,0.39,sector 81,6500.0,600.0,Carpet area: 600 (55.74 sq.m.),2,2,2,6.0,South-West,Relatively New,flat,,,600.0,0,0,0,0,0,0,37,300.0
la vida by tata housing,2.35,sector 113,13352.0,1760.04,Super Built up area 2217(205.97 sq.m.)Built Up area: 1930 sq.ft. (179.3 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,4,3,3.0,West,Relatively New,flat,2217.0,1930.0,1760.0,0,1,0,0,0,0,174,586.68
independent,4.15,sector 14,18444.0,2250.0,Plot area 250(209.03 sq.m.),5,4,2,2.0,North-West,Old Property,house,,2250.0,,0,0,0,0,0,2,51,450.0
pyramid urban,0.7,sector 67a,11844.0,591.02,Carpet area: 591 (54.91 sq.m.),2,2,1,14.0,North,New Property,flat,,,591.0,0,0,0,0,0,0,44,295.51
aipl peaceful homes,2.75,sector 70a,12791.0,2149.95,Built Up area: 2150 (199.74 sq.m.),3,3,3+,14.0,North-East,Undefined,flat,,2150.0,,0,0,0,0,0,0,0,716.65
eros wembley estate,1.4,sector 50,10174.0,1376.06,Super Built up area 1376(127.83 sq.m.),3,3,2,9.0,East,Relatively New,flat,1376.0,,,0,0,1,0,0,2,117,458.68666666666667
unitech uniworld gardens,2.4,sector 47,11505.0,2086.05,Super Built up area 2086(193.8 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,3+,10.0,East,Moderately Old,flat,2086.0,,1750.0,0,1,0,0,0,0,103,695.35
baani city center,0.88,sector 63,10945.0,804.02,Built Up area: 804 (74.69 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),1,1,2,4.0,,Undefined,flat,,804.0,600.0,0,0,0,0,0,0,0,804.02
dlf new town heights,1.3,sector 86,6735.0,1930.22,Super Built up area 1930(179.3 sq.m.),3,3,3,12.0,North,Moderately Old,flat,1930.0,,,0,1,0,0,0,2,165,643.4066666666666
tulip violet,1.7,sector 69,8457.0,2010.17,Super Built up area 2010(186.74 sq.m.),4,4,2,1.0,South,Relatively New,flat,2010.0,,,0,0,0,0,0,0,126,502.5425
independent,2.5,sector 37d,13158.0,1900.0,Plot area 1900(176.52 sq.m.),5,5,3+,2.0,,Relatively New,house,,1900.0,,0,0,0,0,0,0,0,380.0
shree vardhman flora,1.25,sector 90,4854.0,2575.2,Super Built up area 2575(239.23 sq.m.),4,5,2,8.0,South,Relatively New,flat,2575.0,,,1,1,0,0,0,0,165,643.8
shapoorji pallonji joyville gurugram,0.95,sector 102,10383.0,914.96,Built Up area: 915 (85.01 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),2,2,2,14.0,,Undefined,flat,,915.0,675.0,0,0,0,0,0,0,0,457.48
ireo the grand arch,2.2,sector 58,16000.0,1375.0,Carpet area: 1375 (127.74 sq.m.),2,2,1,5.0,East,Relatively New,flat,,,1375.0,0,0,0,1,0,2,49,687.5
godrej aria,1.1,sector 79,7772.0,1415.34,Super Built up area 1351(125.51 sq.m.),2,2,3+,4.0,North-East,New Property,flat,1351.0,,,0,0,0,0,0,2,49,707.67
independent,6.6,sector 25,36667.0,1800.0,Plot area 200(167.23 sq.m.),6,7,3+,2.0,East,Moderately Old,house,,1800.0,,1,1,0,0,0,2,119,300.0
independent,2.5,sector 43,2885.0,8667.0,Plot area 107(89.47 sq.m.),7,7,3,4.0,West,Relatively New,house,,963.0,,0,0,0,0,1,1,20,1238.142857142857
sbtl caladium,1.35,sector 109,7180.0,1880.22,Super Built up area 1880(174.66 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),3,2,3+,12.0,West,Relatively New,flat,1880.0,,1128.0,0,0,0,0,0,0,128,626.74
emaar palm gardens,1.76,sector 83,9263.0,1900.03,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,5.0,South-East,Relatively New,flat,1900.0,1600.0,1240.04,0,1,0,0,0,2,174,633.3433333333334
emaar mgf emerald floors premier,3.0,sector 65,15189.0,1975.11,Super Built up area 1975(183.48 sq.m.),4,4,3+,2.0,South-East,Relatively New,flat,1975.0,,,0,1,0,0,0,0,87,493.7775
unitech fresco,1.82,sector 50,9912.0,1836.16,Super Built up area 1836(170.57 sq.m.)Built Up area: 1830 sq.ft. (170.01 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,14.0,East,Moderately Old,flat,1836.0,1830.0,1500.0,0,0,0,0,1,2,174,612.0533333333334
