society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
pioneer araya,9.95,sector 62,20995.0,4,6,3,12.0,Relatively New,flat,3933.0,0,1,0,1,0,2,138
sanskriti apartment,1.1,sector 10a,6666.0,3,3,3,2.0,Moderately Old,flat,1833.0,0,0,0,0,0,0,22
dlf the skycourt,1.6,sector 86,8294.0,3,3,1,14.0,Relatively New,flat,1746.0,0,0,0,1,0,0,72
shivpuri,2.4,sector 7,8889.0,10,5,3,2.0,Old Property,house,2700.0,1,1,0,1,0,0,8
bestech park view spa next,2.35,sector 67,12144.0,3,4,3+,14.0,Moderately Old,flat,1751.0,0,1,0,0,0,2,156
signature global park,0.54,sohna road,7200.0,2,2,2,4.0,Under Construction,flat,833.0,0,0,0,0,0,0,111
ansal api esencia,1.2,sector 67,7407.0,3,3,2,1.0,Relatively New,flat,200.0,0,0,0,0,0,0,49
unitech uniworld resorts,10.0,sector 33,20202.0,5,6,3,4.0,New Property,house,4950.0,1,1,0,0,0,0,26
nul,15.0,sector 25,23438.0,5,5,3,2.0,Moderately Old,house,6400.0,1,1,0,1,0,2,112
indiabulls centrum park,1.15,sector 103,8679.0,2,2,3,10.0,Relatively New,flat,1080.0,1,0,0,0,0,2,174
signature global park,0.67,sohna road,5537.0,2,2,3,4.0,Relatively New,flat,1095.0,0,0,0,1,0,0,127
emaar mgf emerald floors premier,2.25,sector 65,13636.0,3,3,3,3.0,Relatively New,flat,1600.0,1,1,0,0,0,2,49
ss,2.09,sector 85,7432.0,4,4,3,8.0,Relatively New,flat,2600.0,1,1,0,1,0,0,49
dlf regency park,1.6,sector 28,14545.0,2,2,2,3.0,Relatively New,flat,1222.0,0,0,0,0,0,0,52
bestech park view grand spa,4.5,sector 81,10714.0,4,6,3+,17.0,Relatively New,flat,3801.0,0,1,0,0,0,2,44
ireo uptown,2.4,sector 66,13064.0,3,2,3,5.0,Relatively New,flat,1700.0,0,1,0,0,0,2,156
spaze privy at,1.2,sector 84,7453.0,2,2,3,3.0,Relatively New,flat,1457.0,1,0,0,0,0,2,133
independent,1.85,sector 1,16003.0,4,3,2,3.0,Moderately Old,house,1284.0,0,0,0,0,0,0,0
signature global solera,0.28,sector 107,5828.0,2,2,2,0.0,Relatively New,flat,543.0,0,0,0,0,0,0,45
sapphire eighty three,0.4,sector 83,8547.0,1,1,1,6.0,Relatively New,flat,520.0,0,0,0,0,0,1,52
ss the leaf,1.78,sector 85,7392.0,3,4,3+,6.0,New Property,flat,2179.0,0,0,1,0,0,0,113
zara aavaas,0.22,sector 104,7302.0,1,2,2,2.0,New Property,flat,335.0,0,0,0,0,0,0,60
bptp astaire gardens,1.7,sector 70a,8947.0,4,3,3,1.0,Relatively New,flat,2111.0,0,0,0,0,0,2,49
oriental valley chs,1.5,sector 9a,8108.0,4,3,3+,8.0,Moderately Old,flat,2056.0,0,0,0,0,0,0,35
zara aavaas,0.49,sector 104,6577.0,3,2,2,7.0,Under Construction,flat,695.0,0,0,0,0,0,0,74
eldeco accolade,0.85,sohna road,6724.0,2,2,3,10.0,New Property,flat,978.0,0,0,0,0,0,0,72
dlf exclusive floors,2.35,sector 43,14242.0,3,3,2,1.0,Old Property,flat,1527.0,0,0,1,0,0,2,102
signature global city,1.27,sector 37d,8089.0,3,3,3,4.0,Under Construction,house,1570.0,0,0,0,1,0,0,89
international city by sobha phase 2,11.3,sector 109,25111.0,7,5,3+,4.0,Relatively New,house,4500.0,1,1,0,1,1,0,49
independent,2.15,sector 40,23889.0,3,3,3,3.0,Moderately Old,house,900.0,1,0,1,1,0,0,45
satya the hermitage,0.89,sector 103,6137.0,2,3,3,1.0,Relatively New,flat,1257.0,0,1,0,0,0,2,75
independent,0.92,sector 3,15257.0,4,1,0,1.0,Moderately Old,house,603.0,0,0,0,0,0,0,0
supertech araville,1.35,sector 79,6940.0,3,3,3,4.0,Relatively New,flat,2161.0,0,0,0,0,0,0,0
independent,5.5,sector 46,23061.0,8,8,3+,3.0,Moderately Old,house,2385.0,1,0,0,0,1,2,32
vatika the seven lamps,1.37,sector 82,8753.0,3,3,3,11.0,Relatively New,flat,2000.0,1,1,0,1,0,2,145
hero homes,1.95,sector 104,21196.0,3,5,3+,2.0,Moderately Old,house,920.0,0,0,0,0,0,0,64
independent,1.7,sector 12,8000.0,5,5,3,3.0,Moderately Old,house,2000.0,0,0,0,1,1,0,9
godrej summit,1.75,sector 104,7530.0,4,5,3+,1.0,New Property,flat,2582.0,0,1,0,0,0,0,60
ansal housing highland park,0.8,sector 103,5878.0,2,2,2,9.0,Relatively New,flat,1361.0,0,0,0,0,0,0,0
cghs vidya enclave,1.7,sector 56,10967.0,3,2,3,6.0,Old Property,flat,1585.0,0,0,1,0,0,0,101
bestech park view residency,0.56,sector 2,8632.0,1,1,2,6.0,Moderately Old,flat,723.0,0,0,0,0,0,0,77
vatika gurgaon,1.15,sector 83,5808.0,3,3,2,3.0,Relatively New,flat,1350.0,1,1,1,1,0,2,165
unitech aspen greens,6.8,sector 50,31481.0,4,5,3,3.0,Old Property,house,2160.0,1,1,0,0,0,2,111
bptp terra,2.08,sector 37d,10000.0,4,4,3,0.0,New Property,flat,2211.0,1,1,0,1,0,0,121
dlf regal gardens,1.76,sector 90,7945.0,4,4,3+,8.0,Relatively New,flat,2020.0,0,0,0,0,0,2,135
today callidora,0.9,sector 73,5548.0,3,3,3,3.0,Under Construction,flat,1622.0,0,1,0,0,0,0,63
dlf the ultima,3.45,sector 81,12012.0,4,4,3+,10.0,New Property,flat,2599.0,0,1,0,0,0,1,165
puri the aravallis,3.9,sector 61,33209.0,3,4,3+,33.0,Under Construction,flat,1174.38,0,1,0,0,0,0,158
ss the leaf,1.75,sector 85,7267.0,3,4,3,8.0,Relatively New,flat,2179.0,0,1,0,0,0,0,49
godrej summit,1.3,sector 104,9027.0,3,2,3+,16.0,Relatively New,flat,1303.0,1,0,1,1,0,2,0
independent,5.5,sector 43,28424.0,1,1,0,1.0,Old Property,house,1935.0,0,0,0,0,1,0,12
independent,5.0,sector 55,44444.0,2,9,3+,5.0,New Property,house,1125.0,0,0,0,0,1,2,44
independent,4.5,sector 28,13889.0,4,4,0,4.0,Relatively New,house,3240.0,0,0,0,0,0,0,0
s aradhya homes,1.9,sector 67a,8863.0,4,4,3,3.0,New Property,flat,1991.0,0,0,0,0,0,2,62
independent,6.75,sector 26,27778.0,3,3,3,2.0,Moderately Old,house,2430.0,0,0,0,0,0,0,27
krisumi waterfall residences,2.3,sector 36a,15551.0,2,2,2,23.0,Relatively New,flat,1479.0,0,0,0,0,0,0,58
ireo skyon,2.85,sector 60,13936.0,3,4,3+,5.0,Relatively New,flat,2045.06,0,1,0,0,0,2,174
chd avenue,1.12,sector 71,6215.0,3,4,3,0.0,Moderately Old,flat,1631.0,0,1,0,0,0,0,65
vatika signature villas,3.2,sector 82,14350.0,3,4,3,1.0,New Property,house,2160.0,1,1,1,1,0,0,66
ss,2.17,sector 85,7716.0,4,4,3,7.0,Relatively New,flat,2600.0,1,1,0,1,0,0,49
ss the leaf,1.09,sector 85,6661.0,2,2,3,5.0,Relatively New,flat,1475.0,0,0,0,0,0,0,49
unitech espace,7.5,sector 50,34722.0,3,3,2,2.0,Moderately Old,house,2160.0,0,1,0,0,0,2,66
signature global solera,0.51,sector 107,7906.0,3,2,2,9.0,Relatively New,flat,717.0,0,0,0,0,1,0,15
experion the heartsong,0.98,sector 108,13343.0,2,3,3,12.0,Relatively New,flat,978.223232,1,1,1,1,0,2,31
breez global heights,0.46,sohna road,4842.0,2,2,2,4.0,Relatively New,flat,800.0,0,0,0,0,0,1,93
shree vardhman victoria,1.78,sector 70,9128.0,3,3,3+,7.0,Relatively New,flat,1765.0,0,1,0,0,1,0,49
