society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
orris aster court,0.69,sector 85,5221.0,2,2,2,5.0,Relatively New,flat,1075.0,0,0,0,0,0,0,37,"28.4042° N, 76.9513° E",28.4042,76.9513
vatika gurgaon,0.84,sector 83,6746.0,2,2,2,7.0,Moderately Old,flat,1127.0,0,0,0,0,0,2,157,"28.3986° N, 76.9647° E",28.3986,76.9647
antriksh heights,1.02,sector 84,4868.0,4,4,3+,11.0,Relatively New,flat,1896.0,0,1,0,1,0,0,99,"28.3979° N, 76.9736° E",28.3979,76.9736
nitin vihar,0.85,sector 33,9444.0,3,2,0,1.0,Relatively New,house,900.0,0,0,0,0,0,0,15,"28.4420° N, 77.0207° E",28.442,77.0207
ss the leaf,2.15,sector 85,7645.0,4,5,3+,1.0,Relatively New,flat,2545.0,0,1,0,0,0,0,165,"28.4042° N, 76.9513° E",28.4042,76.9513
signature global solera,0.36,sector 107,5980.0,2,2,1,7.0,Relatively New,flat,598.0,0,0,0,0,1,0,49,"28.5052° N, 76.9729° E",28.5052,76.9729
palam vihar extension west zone rwa,0.35,sector 2,6481.0,2,2,0,1.0,New Property,house,600.0,0,0,0,0,0,0,0,"28.5095° N, 77.0320° E",28.5095,77.032
supertech araville,0.9,sector 79,6950.0,2,2,0,12.0,Relatively New,flat,1295.0,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
godrej frontier,1.4,sector 80,6189.0,3,4,2,6.0,Moderately Old,flat,1922.0,0,1,0,1,0,0,111,"28.3659° N, 76.9557° E",28.3659,76.9557
corona gracieux,1.08,sector 76,5510.0,3,3,3,1.0,New Property,flat,1774.0,0,1,0,0,0,0,58,"28.3935° N, 76.9888° E",28.3935,76.9888
