society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
shapoorji pallonji joyville gurugram,2.5,sector 102,14000.0,3,3,3,15.0,Under Construction,flat,1653.0,0,0,0,0,0,0,151,"28.4750° N, 76.9715° E",28.475,76.9715
emaar mgf palm hills,1.25,sector 77,8620.0,3,4,3,3.0,Relatively New,flat,1310.0,1,1,0,0,0,0,49,"28.3801° N, 76.9845° E",28.3801,76.9845
ss the leaf,1.18,sector 85,10094.0,2,3,3,12.0,Relatively New,flat,1420.0,0,0,0,1,0,2,150,"28.4042° N, 76.9513° E",28.4042,76.9513
tulip violet,1.43,sector 69,8886.0,3,3,2,1.0,Relatively New,flat,1455.0,0,0,0,1,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
independent,3.5,sector 3,9211.0,1,1,0,1.0,Moderately Old,house,3800.0,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
pioneer park,2.0,sector 61,11764.0,3,3,3,24.0,Moderately Old,flat,1538.0,0,0,0,0,0,2,75,"28.4050° N, 77.0963° E",28.405,77.0963
raheja vedaanta,0.7,sector 108,4522.0,2,2,3,1.0,Relatively New,flat,1548.0,0,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
smart world gems,1.13,sector 89,8500.0,3,3,2,4.0,Under Construction,flat,1473.0,1,0,0,0,0,0,115,"28.4253° N, 76.9439° E",28.4253,76.9439
signature global synera,0.39,sector 81,6500.0,2,2,2,6.0,Relatively New,flat,667.0,0,0,0,0,0,0,37,"28.3867° N, 76.9485° E",28.3867,76.9485
la vida by tata housing,2.35,sector 113,13352.0,3,4,3,3.0,Relatively New,flat,1930.0,0,1,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
independent,4.15,sector 14,18444.0,5,4,2,2.0,Old Property,house,2250.0,0,0,0,0,0,2,51,"28.4711° N, 77.0454° E",28.4711,77.0454
pyramid urban,0.7,sector 67a,11844.0,2,2,1,14.0,New Property,flat,657.0,0,0,0,0,0,0,44,"28.3960° N, 77.0372° E",28.396,77.0372
eros wembley estate,1.4,sector 50,10174.0,3,3,2,9.0,Relatively New,flat,1245.0,0,0,1,0,0,2,117,"28.4178° N, 77.0628° E",28.4178,77.0628
unitech uniworld gardens,2.4,sector 47,11505.0,3,4,3+,10.0,Moderately Old,flat,1916.0,0,1,0,0,0,0,103,"28.4276° N, 77.0492° E",28.4276,77.0492
baani city center,0.88,sector 63,10945.0,1,1,2,4.0,New Property,flat,804.0,0,0,0,0,0,0,0,"28.3971° N, 77.0867° E",28.3971,77.0867
dlf new town heights,1.3,sector 86,6735.0,3,3,3,12.0,Moderately Old,flat,1747.0,0,1,0,0,0,2,165,"28.3986° N, 76.9384° E",28.3986,76.9384
tulip violet,1.7,sector 69,8457.0,4,4,2,1.0,Relatively New,flat,1819.0,0,0,0,0,0,0,126,"28.3966° N, 77.0341° E",28.3966,77.0341
independent,2.5,sector 37d,13158.0,5,5,3+,2.0,Relatively New,house,1900.0,0,0,0,0,0,0,0,"28.4478° N, 76.9703° E",28.4478,76.9703
shree vardhman flora,1.25,sector 90,4854.0,4,5,2,8.0,Relatively New,flat,2330.0,1,1,0,0,0,0,165,"28.4085° N, 76.9369° E",28.4085,76.9369
shapoorji pallonji joyville gurugram,0.95,sector 102,10383.0,2,2,2,14.0,Relatively New,flat,915.0,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
ireo the grand arch,2.2,sector 58,16000.0,2,2,1,5.0,Relatively New,flat,1528.0,0,0,0,1,0,2,49,"28.4200° N, 77.1105° E",28.42,77.1105
godrej aria,1.1,sector 79,7772.0,2,2,3+,4.0,New Property,flat,1223.0,0,0,0,0,0,2,49,"28.3624° N, 76.9787° E",28.3624,76.9787
independent,6.6,sector 25,36667.0,6,7,3+,2.0,Moderately Old,house,1800.0,1,1,0,0,0,2,119,"28.4844° N, 77.0860° E",28.4844,77.086
independent,2.5,sector 43,2885.0,7,7,3,4.0,Relatively New,house,963.0,0,0,0,0,1,1,20,"28.4629° N, 77.0772° E",28.4629,77.0772
sbtl caladium,1.35,sector 109,7180.0,3,2,3+,12.0,Relatively New,flat,1477.0,0,0,0,0,0,0,128,"28.5073° N, 77.0089° E",28.5073,77.0089
emaar palm gardens,1.76,sector 83,9263.0,3,3,3,5.0,Relatively New,flat,1600.0,0,1,0,0,0,2,174,"28.3986° N, 76.9647° E",28.3986,76.9647
emaar mgf emerald floors premier,3.0,sector 65,15189.0,4,4,3+,2.0,Relatively New,flat,1975.11,0,1,0,0,0,0,87,"28.4030° N, 77.0690° E",28.403,77.069
unitech fresco,1.82,sector 50,9912.0,3,3,3+,14.0,Moderately Old,flat,1830.0,0,0,0,0,1,2,174,"28.4178° N, 77.0628° E",28.4178,77.0628
unitech espace,10.3,sector 50,31790.0,5,6,3+,3.0,Moderately Old,house,3240.0,1,1,1,1,0,2,160,"28.4178° N, 77.0628° E",28.4178,77.0628
orris aster court premier,1.73,sector 85,6757.0,4,5,3+,8.0,Relatively New,flat,2017.0,0,1,0,0,0,0,16,"28.4042° N, 76.9513° E",28.4042,76.9513
rk tower,0.95,sector 2,9595.0,2,2,1,1.0,Relatively New,flat,1100.0,0,0,0,0,0,0,99,"28.5095° N, 77.0320° E",28.5095,77.032
smriti apartment,0.45,sector 56,7500.0,1,1,2,3.0,Old Property,flat,543.0,0,0,0,0,0,0,57,"28.4245° N, 77.0991° E",28.4245,77.0991
sobha city,2.45,sector 108,14040.0,3,3,3,15.0,Relatively New,flat,1460.0,0,0,0,0,0,0,49,"28.5134° N, 76.9830° E",28.5134,76.983
hero homes,1.35,sector 104,9565.0,3,2,2,18.0,New Property,flat,1094.0,0,0,0,0,0,0,49,"28.4788° N, 76.9960° E",28.4788,76.996
emaar digihomes,2.45,sector 62,16000.0,2,2,2,7.0,New Property,flat,1200.0,1,0,0,0,0,1,174,"28.4139° N, 77.0886° E",28.4139,77.0886
independent,1.16,sector 37d,7537.0,1,1,0,1.0,Relatively New,house,1535.0,0,0,0,0,0,0,0,"28.4478° N, 76.9703° E",28.4478,76.9703
birla navya,3.7,sector 63a,15416.0,3,3,3+,1.0,Under Construction,flat,2667.0,0,0,0,0,0,0,72,"28.3923° N, 77.0888° E",28.3923,77.0888
m3m heights,2.44,sector 65,13300.0,3,3,2,7.0,Under Construction,flat,1654.0,0,0,0,0,0,0,31,"28.4030° N, 77.0690° E",28.403,77.069
breez global heights 88a,0.5,sector 88a,8375.0,3,2,2,2.0,Under Construction,flat,663.0,0,0,0,0,0,0,15,"28.4347° N, 76.9557° E",28.4347,76.9557
ansal api sushant estate,0.29,sector 52,11600.0,1,1,0,0.0,Moderately Old,flat,278.0,0,0,0,0,0,2,49,"28.4379° N, 77.0785° E",28.4379,77.0785
vatika independent floors,1.16,sector 82,6987.0,3,3,3+,1.0,Relatively New,flat,1844.0,0,1,1,1,0,2,151,"28.3935° N, 76.9600° E",28.3935,76.96
independent,0.85,sector 4,7522.0,3,3,0,1.0,Moderately Old,house,1130.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
signature global the millennia,0.6,sector 37d,9230.0,2,2,3,7.0,New Property,flat,625.0,0,0,0,0,0,0,35,"28.4478° N, 76.9703° E",28.4478,76.9703
independent,18.25,sector 26,18250.0,7,9,3+,4.0,Relatively New,house,11111.0,1,1,1,1,0,2,77,"28.4757° N, 77.1032° E",28.4757,77.1032
ambience lagoon,5.8,sector 24,12500.0,3,4,3+,9.0,Old Property,flat,3700.0,1,1,0,1,1,1,68,"28.4939° N, 77.1038° E",28.4939,77.1038
vipul tatvam villa,7.69,sector 48,24069.0,4,5,3,2.0,Moderately Old,house,3195.0,1,1,1,1,0,2,110,"28.4177° N, 77.0359° E",28.4177,77.0359
ss radiance residency,0.6,sector 12,5660.0,3,3,2,3.0,Relatively New,flat,1178.0,0,0,0,0,0,0,44,"28.4723° N, 77.0320° E",28.4723,77.032
vatika gurgaon,1.4,sector 83,6628.0,3,3,2,7.0,Relatively New,flat,1570.0,0,0,0,0,0,2,74,"28.3986° N, 76.9647° E",28.3986,76.9647
independent,3.25,sector 4,14444.0,3,3,2,2.0,Old Property,house,2250.0,0,0,0,0,0,0,27,"28.4738° N, 77.0107° E",28.4738,77.0107
independent,1.65,sector 41,13750.0,1,1,0,1.0,Moderately Old,house,1200.0,0,0,0,0,0,0,0,"28.4557° N, 77.0632° E",28.4557,77.0632
antriksh heights,0.85,sector 84,5556.0,2,2,3,10.0,New Property,flat,1222.0,1,0,0,0,1,0,24,"28.3979° N, 76.9736° E",28.3979,76.9736
godrej oasis,1.3,sector 88a,7258.0,3,3,3+,4.0,Relatively New,flat,1990.0,0,0,0,0,0,0,79,"28.4347° N, 76.9557° E",28.4347,76.9557
dlf the primus,1.85,sector 82a,10176.0,3,3,3,15.0,Moderately Old,flat,1677.0,0,0,0,0,1,0,38,"28.3858° N, 76.9686° E",28.3858,76.9686
signature global solera,0.35,sector 107,6398.0,2,2,2,8.0,Relatively New,flat,608.0,0,0,0,0,0,0,45,"28.5052° N, 76.9729° E",28.5052,76.9729
sare petioles,1.3,sector 92,6373.0,4,4,0,7.0,Relatively New,flat,2040.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
pareena coban residences,1.05,sector 99a,6774.0,2,2,3,2.0,Relatively New,flat,1390.0,1,0,0,0,0,0,49,"28.4561° N, 76.9542° E",28.4561,76.9542
vatika the seven lamps,0.94,sector 82,6533.0,2,2,3+,9.0,Relatively New,flat,1299.0,1,0,0,0,0,2,117,"28.3935° N, 76.9600° E",28.3935,76.96
dlf the primus,3.5,sector 82a,13430.0,5,5,3+,14.0,Relatively New,flat,2896.0,1,0,0,0,0,1,49,"28.3858° N, 76.9686° E",28.3858,76.9686
signature global solera,0.5,sector 107,7692.0,2,2,1,11.0,Relatively New,flat,494.0,0,0,0,0,0,0,55,"28.5052° N, 76.9729° E",28.5052,76.9729
bestech park view city,2.9,sector 49,12169.0,4,4,3+,5.0,Moderately Old,flat,2157.0,0,1,0,0,0,0,117,"28.4121° N, 77.0480° E",28.4121,77.048
ats kocoon,2.22,sector 109,10596.0,3,4,3,14.0,Relatively New,flat,1860.0,1,1,1,1,0,0,45,"28.5073° N, 77.0089° E",28.5073,77.0089
independent,0.5,sector 105,5556.0,2,2,0,1.0,Moderately Old,house,100.0,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
ild greens,1.0,sector 37c,4320.0,3,3,3+,5.0,Under Construction,flat,1697.0,0,0,0,0,0,0,51,"28.4515° N, 76.9882° E",28.4515,76.9882
sidhartha ncr one phase,0.43,sector 95,3152.0,2,2,2,6.0,Relatively New,flat,1300.0,0,0,0,0,0,0,120,"28.4172° N, 76.9081° E",28.4172,76.9081
dlf wellington estate,2.09,sector 43,14615.0,3,3,2,11.0,Old Property,flat,1294.0,0,0,0,0,0,2,79,"28.4629° N, 77.0772° E",28.4629,77.0772
smart world gems,0.9,sector 89,8145.0,2,2,2,1.0,New Property,flat,1105.0,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
mapsko royale ville,0.97,sector 82,5418.0,3,4,2,16.0,Relatively New,flat,1620.0,0,1,0,0,0,0,95,"28.3935° N, 76.9600° E",28.3935,76.96
m3m merlin,2.78,sector 67,13580.0,3,3,3+,4.0,Relatively New,flat,2047.13,0,0,0,1,0,2,157,"28.3859° N, 77.0608° E",28.3859,77.0608
experion windchants,4.75,sector 112,12622.0,3,5,3+,4.0,Relatively New,flat,3405.0,0,1,0,0,0,2,42,"28.5189° N, 77.0183° E",28.5189,77.0183
independent,1.15,sector 105,3285.0,3,2,1,1.0,Moderately Old,house,3889.0,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
bestech park view city,3.0,sector 49,12589.0,4,4,3,5.0,Moderately Old,flat,2200.0,0,1,0,1,0,2,141,"28.4121° N, 77.0480° E",28.4121,77.048
vatika gurgaon,0.95,sector 83,6574.0,2,2,3,5.0,Relatively New,flat,1300.0,0,0,0,0,0,2,96,"28.3986° N, 76.9647° E",28.3986,76.9647
ss,1.2,sector 85,7151.0,2,2,3,15.0,Relatively New,flat,1660.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
pareena mi casa,1.1,sector 68,8835.0,2,2,3,11.0,New Property,flat,1127.0,0,0,0,0,0,0,95,"28.3853° N, 77.0484° E",28.3853,77.0484
raheja the vedaanta floors,0.7,sector 108,4521.0,2,2,3,1.0,Moderately Old,flat,1720.0,0,0,0,0,0,2,0,"28.5134° N, 76.9830° E",28.5134,76.983
experion windchants,5.6,sector 112,11529.0,4,6,3+,15.0,Moderately Old,flat,3662.34,0,1,0,0,0,2,157,"28.5189° N, 77.0183° E",28.5189,77.0183
independent,19.0,sector 26,42222.0,6,8,3+,3.0,Moderately Old,house,4500.0,1,1,1,1,0,2,103,"28.4757° N, 77.1032° E",28.4757,77.1032
puri diplomatic greens,9.0,sector 111,11250.0,5,5,3+,3.0,Relatively New,house,8000.0,0,1,0,0,0,0,112,"28.5238° N, 77.0320° E",28.5238,77.032
ats tourmaline,2.1,sector 109,8123.0,3,4,3+,11.0,Relatively New,flat,2100.0,0,1,0,0,0,2,165,"28.5073° N, 77.0089° E",28.5073,77.0089
orris carnation residency,0.72,sector 85,4881.0,3,3,2,9.0,Moderately Old,flat,1350.0,0,0,0,0,1,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
vatika sovereign next sector-82 a gurgaon,2.91,sector 82a,6700.0,4,4,3,6.0,Under Construction,flat,3902.0,1,1,1,0,0,2,79,"28.3858° N, 76.9686° E",28.3858,76.9686
m3m heights,2.33,sector 65,18477.0,2,2,3,35.0,Under Construction,flat,1141.0,0,0,0,0,0,2,49,"28.4030° N, 77.0690° E",28.403,77.069
m3m woodshire,0.9,sector 107,6588.0,2,2,3+,4.0,Relatively New,flat,1236.0,0,0,0,0,0,0,21,"28.5052° N, 76.9729° E",28.5052,76.9729
ramsons kshitij,0.33,sector 95,3911.0,2,2,1,14.0,New Property,flat,694.0,0,0,0,0,1,2,79,"28.4172° N, 76.9081° E",28.4172,76.9081
bestech park view grand spa,2.91,sector 81,9136.0,4,5,2,6.0,Relatively New,flat,3017.0,0,1,0,0,0,2,101,"28.3867° N, 76.9485° E",28.3867,76.9485
ss the leaf,1.2,sector 85,10452.0,2,2,3+,2.0,Relatively New,flat,1380.0,0,0,1,0,0,0,156,"28.4042° N, 76.9513° E",28.4042,76.9513
dlf the skycourt,1.58,sector 86,8190.0,3,3,1,16.0,Relatively New,flat,1750.0,0,0,0,1,0,2,152,"28.3986° N, 76.9384° E",28.3986,76.9384
central park flower valley aqua front towers,1.7,sector 33,9502.0,3,3,3,12.0,Under Construction,flat,1619.0,0,0,0,0,0,0,24,"28.4420° N, 77.0207° E",28.442,77.0207
tarc maceo,0.96,sector 91,5413.0,2,2,3+,8.0,Moderately Old,flat,1271.0,0,0,0,0,0,0,85,"28.4014° N, 76.9225° E",28.4014,76.9225
sobha city,3.95,sector 108,16858.0,3,4,2,15.0,Relatively New,flat,2343.1,0,1,0,0,0,0,49,"28.5134° N, 76.9830° E",28.5134,76.983
raheja vedaanta,0.7,sector 108,4666.0,2,2,1,10.0,Moderately Old,flat,1468.0,0,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
unitech sunbreeze,1.0,sector 69,5476.0,4,3,0,0.0,Relatively New,flat,1826.0,0,0,0,0,0,0,0,"28.3966° N, 77.0341° E",28.3966,77.0341
rof ananda,0.38,sector 95,5899.0,3,2,1,2.0,Relatively New,flat,716.0,0,0,0,1,0,2,66,"28.4172° N, 76.9081° E",28.4172,76.9081
landmark the residency,0.9,sector 103,6666.0,2,2,2,1.0,Relatively New,flat,1222.0,0,0,0,0,0,0,44,"28.4949° N, 76.9845° E",28.4949,76.9845
raheja vedaanta,1.5,sector 108,5263.0,3,4,0,12.0,Relatively New,flat,2850.0,0,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
emaar gurgaon greens,1.3,sector 102,7878.0,3,3,3,7.0,Relatively New,flat,1388.0,0,1,0,0,0,0,93,"28.4750° N, 76.9715° E",28.475,76.9715
tulip violet,1.95,sector 69,9701.0,4,4,2,0.0,Relatively New,flat,1819.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
sushant lok 1 builder floors,10.85,sector 43,28841.0,8,8,3,3.0,Moderately Old,house,3762.0,1,1,1,1,0,1,160,"28.4629° N, 77.0772° E",28.4629,77.0772
dlf the grove,5.7,sector 54,41245.0,3,3,3,1.0,Moderately Old,flat,1381.99,0,0,0,0,0,0,46,"28.4348° N, 77.1089° E",28.4348,77.1089
signature global city 37d ph 2,1.36,sector 37d,8846.0,3,3,3,1.0,Under Construction,flat,1535.0,0,0,0,1,1,0,37,"28.4478° N, 76.9703° E",28.4478,76.9703
ss the leaf,1.98,sector 85,8256.0,3,4,3,12.0,Relatively New,flat,2399.0,0,0,1,0,0,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
la vida by tata housing,2.45,sector 113,11050.0,3,3,3+,3.0,Relatively New,flat,1890.0,1,0,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
satya the hermitage,0.93,sector 103,6404.0,2,3,3,3.0,Relatively New,flat,1613.0,0,1,0,0,0,2,90,"28.4949° N, 76.9845° E",28.4949,76.9845
smart world orchard,2.0,sector 61,12911.0,3,3,2,3.0,New Property,flat,1721.0,0,0,0,0,1,0,61,"28.4050° N, 77.0963° E",28.405,77.0963
raheja vedaanta,0.8,sector 108,4080.0,3,3,3,9.0,Relatively New,flat,1663.0,0,0,0,1,0,0,174,"28.5134° N, 76.9830° E",28.5134,76.983
independent,4.75,sector 57,28788.0,3,3,3,2.0,Moderately Old,house,1650.0,0,0,1,0,0,2,96,"28.4232° N, 77.0752° E",28.4232,77.0752
m3m woodshire,0.9,sector 107,6590.0,2,2,3+,10.0,Relatively New,flat,1236.0,0,0,0,0,1,2,49,"28.5052° N, 76.9729° E",28.5052,76.9729
international city by sobha phase 2,9.5,sector 109,26389.0,5,5,3+,2.0,Relatively New,house,3600.0,1,1,1,1,0,0,133,"28.5073° N, 77.0089° E",28.5073,77.0089
ansal housing highland park,1.1,sector 103,6242.0,3,3,3+,7.0,New Property,flat,1500.0,0,0,0,0,0,0,87,"28.4949° N, 76.9845° E",28.4949,76.9845
independent,2.9,sector 12,10741.0,7,7,3,2.0,Old Property,house,2700.0,0,0,0,0,0,0,7,"28.4723° N, 77.0320° E",28.4723,77.032
independent,1.0,sector 6,4630.0,6,4,0,3.0,Moderately Old,house,240.0,0,0,0,0,0,0,0,"28.4745° N, 77.0262° E",28.4745,77.0262
ansal heights,0.6,sector 92,4546.0,2,2,3,11.0,Under Construction,flat,1195.0,0,0,0,0,1,0,23,"28.4079° N, 76.9153° E",28.4079,76.9153
independent,11.25,sector 28,34722.0,9,9,3+,2.0,Moderately Old,house,3240.0,0,1,1,1,0,2,126,"28.4728° N, 77.0865° E",28.4728,77.0865
the lions cghs,1.99,sector 56,11055.0,4,4,3+,4.0,Old Property,flat,2000.0,0,0,0,1,1,2,105,"28.4245° N, 77.0991° E",28.4245,77.0991
signature global city 81,0.96,sector 81,9767.0,2,2,2,1.0,Under Construction,flat,1194.0,0,0,0,0,0,0,49,"28.3867° N, 76.9485° E",28.3867,76.9485
orchid petals,4.52,sector 49,10984.0,5,5,3+,14.0,Moderately Old,flat,3724.0,1,1,0,1,0,0,49,"28.4121° N, 77.0480° E",28.4121,77.048
dlf park place,4.85,sector 54,30180.0,3,4,3+,6.0,Moderately Old,flat,1607.02,0,1,0,0,0,1,158,"28.4348° N, 77.1089° E",28.4348,77.1089
indiabulls centrum park,3.25,sector 103,8125.0,4,3,3+,20.0,Under Construction,house,4000.0,0,0,0,0,0,0,51,"28.4949° N, 76.9845° E",28.4949,76.9845
ramsons kshitij,0.32,sector 95,4500.0,2,2,1,8.0,Relatively New,flat,563.0,0,0,0,0,1,1,28,"28.4172° N, 76.9081° E",28.4172,76.9081
ss the leaf,1.12,sector 85,6453.0,2,2,3,10.0,Relatively New,flat,1485.0,0,0,0,0,1,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
indiabulls centrum park,1.01,sector 103,8080.0,2,2,3,5.0,Relatively New,flat,1338.0,0,0,1,0,0,2,165,"28.4949° N, 76.9845° E",28.4949,76.9845
ss the leaf,2.0,sector 85,6578.0,4,5,3+,1.0,Relatively New,flat,2545.0,0,1,1,0,0,0,106,"28.4042° N, 76.9513° E",28.4042,76.9513
dlf city plot phase 4,13.0,sector 28,17931.0,10,10,3+,1.0,Relatively New,house,8056.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
shree vardhman victoria,1.9,sector 70,9743.0,3,3,3,10.0,New Property,flat,1765.0,0,1,1,1,1,0,36,"28.3968° N, 77.0233° E",28.3968,77.0233
ambience creacions,2.55,sector 22,13709.0,3,3,3,8.0,Relatively New,flat,1860.09,0,0,0,0,1,1,125,"28.5072° N, 77.0640° E",28.5072,77.064
signature global synera,0.48,sector 81,8450.0,2,2,1,7.0,Relatively New,flat,613.0,0,0,0,0,0,2,70,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,0.6,sector 105,13333.0,3,3,0,3.0,Moderately Old,house,450.0,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
dlf city phase 1,4.5,sector 26,33333.0,3,3,2,2.0,Moderately Old,house,1350.0,1,1,0,0,0,0,70,"28.4757° N, 77.1032° E",28.4757,77.1032
puri diplomatic greens,3.9,sector 111,13000.0,4,5,3+,6.0,Relatively New,flat,2996.0,0,1,0,0,0,1,160,"28.5238° N, 77.0320° E",28.5238,77.032
independent,0.5,sector 4,9259.0,2,3,2,3.0,Old Property,house,540.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
the penthouses at the hibiscus,8.0,sector 50,8888.0,4,3,3,7.0,Moderately Old,flat,10000.0,0,1,0,0,0,0,35,"28.4178° N, 77.0628° E",28.4178,77.0628
ansal sushant lok ci,2.0,sector 43,15151.0,3,3,2,1.0,Old Property,flat,1467.0,0,1,0,0,0,1,15,"28.4629° N, 77.0772° E",28.4629,77.0772
ireo the corridors,1.5,sector 67a,11111.0,2,2,2,10.0,Relatively New,flat,1500.0,0,0,1,0,0,2,38,"28.3960° N, 77.0372° E",28.396,77.0372
independent,5.25,sector 24,38889.0,4,4,3+,2.0,Relatively New,house,1350.0,0,1,0,1,0,2,72,"28.4939° N, 77.1038° E",28.4939,77.1038
independent,7.85,sector 43,29074.0,9,9,3+,3.0,Relatively New,house,2700.0,1,1,0,1,1,1,49,"28.4629° N, 77.0772° E",28.4629,77.0772
smart world orchard,2.45,sector 61,15800.0,3,3,3,3.0,New Property,flat,1223.0,1,1,0,0,0,0,119,"28.4050° N, 77.0963° E",28.405,77.0963
tata primanti,3.5,sector 72,11428.0,4,5,3+,10.0,Relatively New,flat,2625.0,0,1,0,0,1,0,38,"28.4225° N, 77.0211° E",28.4225,77.0211
emaar palm gardens,1.8,sector 83,9473.0,3,4,3,4.0,Relatively New,flat,1551.0,1,1,1,1,0,2,174,"28.3986° N, 76.9647° E",28.3986,76.9647
puri emerald bay,1.59,sector 104,10903.0,2,2,2,12.0,Relatively New,flat,1403.0,0,0,0,0,0,0,121,"28.4788° N, 76.9960° E",28.4788,76.996
vipul tatvam villa,8.25,sector 48,38194.0,4,4,3+,3.0,Relatively New,house,2160.0,0,1,1,0,0,2,160,"28.4177° N, 77.0359° E",28.4177,77.0359
vatika gurgaon,1.25,sector 83,6313.0,3,3,2,2.0,Relatively New,flat,1792.0,0,1,0,0,0,0,119,"28.3986° N, 76.9647° E",28.3986,76.9647
rose apartment,3.0,sector 28,10482.0,3,5,3+,8.0,Old Property,flat,2590.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
independent,5.5,sector 23,21825.0,8,8,2,3.0,Moderately Old,house,2520.0,1,1,0,1,0,2,76,"28.5121° N, 77.0478° E",28.5121,77.0478
conscient elevate,3.78,sector 59,16500.0,3,3,3,3.0,Under Construction,flat,2550.0,0,0,0,0,0,0,31,"28.4051° N, 77.1097° E",28.4051,77.1097
umang winter hills,1.35,sector 77,7780.0,3,3,3+,7.0,New Property,flat,1451.0,0,0,1,0,0,2,96,"28.3801° N, 76.9845° E",28.3801,76.9845
independent,5.0,sector 40,21124.0,9,9,3+,3.0,Moderately Old,house,2367.0,0,1,1,0,0,2,83,"28.4498° N, 77.0567° E",28.4498,77.0567
pyramid elite,0.45,sector 86,7739.0,2,2,1,4.0,Under Construction,flat,646.0,0,0,0,0,0,0,66,"28.3986° N, 76.9384° E",28.3986,76.9384
independent,13.5,sector 25,37313.0,5,6,3+,4.0,Old Property,house,3618.0,0,0,0,0,1,2,79,"28.4844° N, 77.0860° E",28.4844,77.086
breeze global heights,0.4,sector 33,6421.0,2,2,2,4.0,Under Construction,flat,623.0,0,0,0,0,0,0,0,"28.4420° N, 77.0207° E",28.442,77.0207
godrej oasis,2.65,sector 88a,16747.0,3,3,3+,10.0,New Property,flat,1582.37,0,0,0,0,0,0,110,"28.4347° N, 76.9557° E",28.4347,76.9557
sare green parc phase 3,1.1,sector 92,6875.0,4,3,2,12.0,New Property,flat,1778.0,0,0,0,0,0,0,15,"28.4079° N, 76.9153° E",28.4079,76.9153
corona optus,1.5,sector 37c,6361.0,3,4,3+,14.0,New Property,flat,2134.0,0,1,0,0,1,0,83,"28.4515° N, 76.9882° E",28.4515,76.9882
signature global park 4,0.72,sector 36,6660.0,3,2,3,3.0,Under Construction,flat,978.0,0,0,0,0,0,0,0,"28.4160° N, 76.9914° E",28.416,76.9914
ss the leaf,1.65,sector 85,6852.0,3,4,3,9.0,New Property,flat,2179.0,0,0,0,1,0,0,21,"28.4042° N, 76.9513° E",28.4042,76.9513
sare green parc 2,1.07,sector 92,5246.0,4,3,3,10.0,Under Construction,flat,2040.0,1,1,0,0,0,0,86,"28.4079° N, 76.9153° E",28.4079,76.9153
ansals florence villa,3.3,sector 57,19820.0,4,3,3+,2.0,Moderately Old,house,1665.0,1,1,1,1,0,0,151,"28.4232° N, 77.0752° E",28.4232,77.0752
ats triumph,2.55,sector 104,13076.0,4,4,3+,21.0,Relatively New,flat,2509.0,0,1,0,0,0,0,150,"28.4788° N, 76.9960° E",28.4788,76.996
la vida by tata housing,1.35,sector 113,13989.0,2,2,3,10.0,New Property,flat,1090.0,0,0,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
godrej aria,0.96,sector 79,13296.0,2,2,3,8.0,Relatively New,flat,1012.0,0,0,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
independent,3.2,sector 9,13519.0,3,3,2,1.0,Old Property,house,2367.0,0,0,0,0,0,2,36,"28.4603° N, 77.0000° E",28.4603,77.0
ss the leaf,1.93,sector 85,8075.0,3,4,3,7.0,Relatively New,flat,2400.0,0,1,0,0,0,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
suncity vatsal valley,1.38,gwal pahari,12212.0,2,2,2,4.0,Under Construction,flat,1130.0,0,0,0,0,0,2,133,"28.4484° N, 77.0210° E",28.4484,77.021
smart world gems,0.95,sector 89,8600.0,2,2,2,4.0,New Property,flat,1226.0,1,1,0,0,0,0,38,"28.4253° N, 76.9439° E",28.4253,76.9439
