sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
8.0,1,2,2.0,1.0,0.0,335.0,0,0,0,2.0,1.0,0.22
83.0,4,3,3.0,3.0,0.0,2111.0,0,0,2,1.0,1.0,1.7
112.0,4,3,4.0,0.0,0.0,2056.0,0,0,0,1.0,2.0,1.5
8.0,3,2,2.0,4.0,0.0,695.0,0,0,0,2.0,2.0,0.49
113.0,2,2,3.0,1.0,0.0,978.0,0,0,0,2.0,2.0,0.85
52.0,3,3,2.0,2.0,0.0,1527.0,0,1,2,2.0,1.0,2.35
46.0,3,3,3.0,4.0,1.0,1570.0,0,0,0,2.0,2.0,1.27
13.0,7,5,4.0,3.0,1.0,4500.0,1,0,0,1.0,2.0,11.3
50.0,3,3,3.0,0.0,1.0,900.0,0,1,0,1.0,2.0,2.15
7.0,2,3,3.0,3.0,0.0,1257.0,1,0,2,2.0,1.0,0.89
36.0,4,1,0.0,0.0,1.0,603.0,0,0,0,1.0,1.0,0.92
91.0,3,3,3.0,3.0,0.0,2161.0,0,0,0,1.0,2.0,1.35
54.0,8,8,4.0,0.0,1.0,2385.0,0,0,2,1.0,2.0,5.5
95.0,3,3,3.0,3.0,0.0,2000.0,1,0,2,2.0,0.0,1.37
8.0,3,5,4.0,0.0,1.0,920.0,0,0,0,2.0,1.0,1.95
20.0,5,5,3.0,0.0,1.0,2000.0,0,0,0,1.0,2.0,1.7
8.0,4,5,4.0,1.0,0.0,2582.0,1,0,0,2.0,1.0,1.75
7.0,2,2,2.0,3.0,0.0,1361.0,0,0,0,1.0,2.0,0.8
65.0,3,2,3.0,2.0,0.0,1585.0,0,1,0,2.0,2.0,1.7
27.0,1,1,2.0,0.0,0.0,723.0,0,0,0,2.0,2.0,0.56
97.0,3,3,2.0,3.0,0.0,1350.0,1,1,2,0.0,2.0,1.15
59.0,4,5,3.0,2.0,1.0,2160.0,1,0,2,2.0,2.0,6.8
46.0,4,4,3.0,1.0,0.0,2211.0,1,0,0,2.0,1.0,2.08
105.0,4,4,4.0,3.0,0.0,2020.0,0,0,2,2.0,2.0,1.76
