price,sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
0.28,sector 107,2,2,2,Relatively New,flat,543.0,0,0,0,Low,Low Floor
0.4,sector 83,1,1,1,Relatively New,flat,520.0,0,0,1,Medium,Mid Floor
1.78,sector 85,3,4,3+,New Property,flat,2179.0,0,1,0,Medium,Mid Floor
0.22,sector 104,1,2,2,New Property,flat,335.0,0,0,0,Medium,Low Floor
1.7,sector 70a,4,3,3,Relatively New,flat,2111.0,0,0,2,Low,Low Floor
1.5,sector 9a,4,3,3+,Moderately Old,flat,2056.0,0,0,0,Low,Mid Floor
0.49,sector 104,3,2,2,Under Construction,flat,695.0,0,0,0,Medium,Mid Floor
0.85,sohna road,2,2,3,New Property,flat,978.0,0,0,0,Medium,Mid Floor
2.35,sector 43,3,3,2,Old Property,flat,1527.0,0,1,2,Medium,Low Floor
1.27,sector 37d,3,3,3,Under Construction,house,1570.0,0,0,0,Medium,Mid Floor
11.3,sector 109,7,5,3+,Relatively New,house,4500.0,1,0,0,Low,Mid Floor
2.15,sector 40,3,3,3,Moderately Old,house,900.0,0,1,0,Low,Mid Floor
0.89,sector 103,2,3,3,Relatively New,flat,1257.0,1,0,2,Medium,Low Floor
0.92,sector 3,4,1,0,Moderately Old,house,603.0,0,0,0,Low,Low Floor
1.35,sector 79,3,3,3,Relatively New,flat,2161.0,0,0,0,Low,Mid Floor
5.5,sector 46,8,8,3+,Moderately Old,house,2385.0,0,0,2,Low,Mid Floor
1.37,sector 82,3,3,3,Relatively New,flat,2000.0,1,0,2,Medium,High Floor
1.95,sector 104,3,5,3+,Moderately Old,house,920.0,0,0,0,Medium,Low Floor
1.7,sector 12,5,5,3,Moderately Old,house,2000.0,0,0,0,Low,Mid Floor
1.75,sector 104,4,5,3+,New Property,flat,2582.0,1,0,0,Medium,Low Floor
0.8,sector 103,2,2,2,Relatively New,flat,1361.0,0,0,0,Low,Mid Floor
1.7,sector 56,3,2,3,Old Property,flat,1585.0,0,1,0,Medium,Mid Floor
0.56,sector 2,1,1,2,Moderately Old,flat,723.0,0,0,0,Medium,Mid Floor
1.15,sector 83,3,3,2,Relatively New,flat,1350.0,1,1,2,High,Mid Floor
6.8,sector 50,4,5,3,Old Property,house,2160.0,1,0,2,Medium,Mid Floor
2.08,sector 37d,4,4,3,New Property,flat,2211.0,1,0,0,Medium,Low Floor
1.76,sector 90,4,4,3+,Relatively New,flat,2020.0,0,0,2,Medium,Mid Floor
0.9,sector 73,3,3,3,Under Construction,flat,1622.0,1,0,0,Medium,Mid Floor
3.45,sector 81,4,4,3+,New Property,flat,2599.0,1,0,1,High,Mid Floor
3.9,sector 61,3,4,3+,Under Construction,flat,1174.38,1,0,0,High,High Floor
1.75,sector 85,3,4,3,Relatively New,flat,2179.0,1,0,0,Low,Mid Floor
1.3,sector 104,3,2,3+,Relatively New,flat,1303.0,0,1,2,Low,High Floor
5.5,sector 43,1,1,0,Old Property,house,1935.0,0,0,0,Low,Low Floor
5.0,sector 55,2,9,3+,New Property,house,1125.0,0,0,2,Low,Mid Floor
4.5,sector 28,4,4,0,Relatively New,house,3240.0,0,0,0,Low,Mid Floor
1.9,sector 67a,4,4,3,New Property,flat,1991.0,0,0,2,Medium,Mid Floor
6.75,sector 26,3,3,3,Moderately Old,house,2430.0,0,0,0,Low,Low Floor
2.3,sector 36a,2,2,2,Relatively New,flat,1479.0,0,0,0,Medium,High Floor
2.85,sector 60,3,4,3+,Relatively New,flat,2045.06,1,0,2,High,Mid Floor
1.12,sector 71,3,4,3,Moderately Old,flat,1631.0,1,0,0,Medium,Low Floor
3.2,sector 82,3,4,3,New Property,house,2160.0,1,1,0,Medium,Low Floor
2.17,sector 85,4,4,3,Relatively New,flat,2600.0,1,0,0,Low,Mid Floor
1.09,sector 85,2,2,3,Relatively New,flat,1475.0,0,0,0,Low,Mid Floor
7.5,sector 50,3,3,2,Moderately Old,house,2160.0,1,0,2,Medium,Low Floor
0.51,sector 107,3,2,2,Relatively New,flat,717.0,0,0,0,Low,Mid Floor
0.98,sector 108,2,3,3,Relatively New,flat,978.223232,1,1,2,Low,High Floor
0.46,sohna road,2,2,2,Relatively New,flat,800.0,0,0,1,Medium,Mid Floor
1.78,sector 70,3,3,3+,Relatively New,flat,1765.0,1,0,0,Low,Mid Floor
3.6,sector 60,4,5,3,Relatively New,flat,2604.0,1,0,2,Low,High Floor
2.75,sector 14,4,5,3+,Old Property,flat,2200.0,1,0,1,Medium,Mid Floor
1.0,sector 68,2,2,3,New Property,flat,1311.0,0,0,0,Low,High Floor
8.5,sector 48,4,4,2,Moderately Old,house,3240.0,1,1,0,Medium,Low Floor
1.5,sector 63,3,3,2,New Property,house,2385.0,0,0,0,Low,Low Floor
0.93,sohna road,2,2,2,Under Construction,flat,1000.0,0,0,0,Low,Mid Floor
3.25,sector 56,5,6,3+,Relatively New,house,1512.0,0,0,2,Low,Mid Floor
2.34,sector 81,3,4,3+,Relatively New,flat,1760.0,1,0,1,High,High Floor
1.65,sector 61,2,2,2,Under Construction,flat,1333.0,0,0,0,Low,Low Floor
2.1,sector 85,4,4,3,Relatively New,flat,2600.0,1,0,0,Low,Mid Floor
1.5,sector 39,4,3,3,Old Property,flat,2611.0,1,0,1,Low,Mid Floor
1.2,sector 78,3,3,2,Moderately Old,flat,2045.0,0,0,1,Low,Mid Floor
0.49,sector 107,2,2,1,Relatively New,flat,598.0,0,0,1,Low,Mid Floor
6.5,sector 43,5,4,3+,Moderately Old,house,1836.0,1,0,2,Medium,Mid Floor
0.8,sector 67,1,1,0,Relatively New,flat,610.0,0,0,0,Low,Low Floor
8.31,sector 57,5,6,3+,Old Property,house,3438.0,1,1,0,Low,Mid Floor
0.35,sohna road,2,2,2,New Property,flat,616.0,0,0,0,Medium,High Floor
0.95,sector 92,4,3,3,Moderately Old,flat,1770.0,0,0,0,Medium,Mid Floor
0.65,manesar,3,2,3+,Moderately Old,flat,1696.0,0,0,0,Low,Mid Floor
0.56,sector 67,2,2,1,New Property,flat,889.0,0,0,0,Medium,Mid Floor
4.25,sector 112,3,5,2,Relatively New,flat,3000.0,1,0,0,Medium,High Floor
0.36,sector 11,2,2,0,Relatively New,flat,699.0,0,0,0,Low,High Floor
1.0,sector 3 phase 3 extension,1,1,0,Moderately Old,house,1500.0,0,0,0,Low,Low Floor
0.5,sector 99,2,1,2,New Property,flat,652.0,0,0,0,Low,Mid Floor
1.35,sector 79,3,3,2,Relatively New,flat,1362.0,0,0,0,Medium,Mid Floor
0.28,sector 95,2,2,2,New Property,flat,694.0,0,0,0,Low,Mid Floor
2.24,sector 84,4,4,3,Relatively New,flat,3165.0,1,0,0,Low,High Floor
4.25,sector 24,3,4,3+,Old Property,flat,3201.0,1,1,2,Medium,Mid Floor
4.6,sector 31,2,2,2,Moderately Old,house,1426.0,0,0,0,Low,Low Floor
