price,sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
2.15,sector 62,2,2,3,Under Construction,flat,1676.0,0,0,0,Medium,High Floor
0.53,sector 67a,2,2,1,Relatively New,flat,657.0,0,0,2,Low,Mid Floor
2.65,sector 111,3,4,3+,Relatively New,flat,2005.0,1,1,2,Medium,High Floor
9.4,sector 109,5,6,3+,Relatively New,house,3600.0,1,1,2,Medium,Low Floor
1.72,sector 37d,3,3,3,Relatively New,flat,1373.0,0,0,2,Low,Mid Floor
1.26,sector 109,3,2,3,Relatively New,flat,1701.0,0,0,0,Medium,Mid Floor
1.9,sector 91,4,4,3,Relatively New,flat,2465.0,1,0,0,Medium,Mid Floor
1.85,sector 67,3,3,3,Moderately Old,house,278.0,0,0,0,Low,Low Floor
0.9,sector 37d,3,3,2,Relatively New,flat,1185.0,0,0,1,Low,High Floor
2.9,sector 67,3,3,3,Relatively New,flat,2047.01,0,0,2,Low,Low Floor
4.0,new,4,4,2,Under Construction,flat,3889.0,1,0,2,Medium,Mid Floor
4.35,sector 25,5,4,3,Old Property,house,1350.0,1,0,0,Low,Mid Floor
1.8,sector 39,1,1,2,Relatively New,house,800.0,0,0,0,Low,Mid Floor
0.6,sector 9,2,2,1,Moderately Old,house,558.0,0,0,0,Low,Low Floor
0.39,sector 71,1,1,2,New Property,flat,294.0,0,0,0,Low,Low Floor
4.45,sector 81,4,4,3+,Relatively New,flat,3850.0,1,0,2,Low,Mid Floor
2.2,sector 103,4,6,3+,Relatively New,flat,2602.0,1,0,2,Medium,Mid Floor
1.15,sector 12,3,4,2,Old Property,flat,2000.0,1,0,0,Low,Low Floor
3.71,sector 12,3,3,1,Moderately Old,house,1872.0,0,0,0,Low,Mid Floor
3.0,sector 66,3,3,2,Relatively New,flat,1950.08,1,0,0,Medium,High Floor
8.0,sector 56,10,10,3+,Relatively New,house,8286.0,1,0,1,Medium,Mid Floor
1.85,sector 104,3,3,3+,Relatively New,flat,2072.0,1,0,0,High,High Floor
8.0,sector 38,10,10,3+,Relatively New,house,3123.0,0,0,0,Low,Low Floor
0.9,sector 7,2,4,3,Old Property,house,900.0,1,0,2,Low,Mid Floor
0.43,sector 4,2,2,1,Relatively New,flat,722.0,0,0,0,Low,Low Floor
0.8,sector 107,2,2,3+,Relatively New,flat,1204.0,0,0,2,High,Mid Floor
9.55,sector 33,6,7,3+,Relatively New,house,4950.0,1,1,2,Medium,Low Floor
2.6,sector 70a,3,2,2,Moderately Old,flat,2406.0,1,0,0,Medium,High Floor
6.8,sector 50,4,4,3+,Old Property,house,2160.0,1,0,0,Medium,Low Floor
1.19,sector 88a,2,2,3,Relatively New,flat,1387.0,0,0,2,High,High Floor
0.98,sector 2,2,2,3,Moderately Old,flat,1281.0,0,0,0,Medium,Low Floor
1.67,sector 33,3,2,2,Under Construction,flat,1857.0,0,0,0,Medium,High Floor
1.35,sector 37c,3,3,0,New Property,flat,1820.0,0,0,0,Medium,Low Floor
1.3,sector 85,2,2,2,New Property,flat,1484.0,0,0,0,Medium,High Floor
0.87,sector 92,4,4,2,Moderately Old,flat,1584.0,0,1,1,Medium,Low Floor
2.15,sector 108,3,4,3+,Relatively New,flat,4600.0,0,0,0,Low,High Floor
4.5,sector 67,4,4,3+,Relatively New,flat,2854.0,1,0,2,High,High Floor
1.2,sector 85,2,2,3+,Relatively New,flat,1380.0,0,1,0,Medium,High Floor
4.5,sector 25,5,3,2,Old Property,house,1350.0,0,1,0,Low,Mid Floor
2.85,sector 65,4,4,3+,Relatively New,flat,1975.05,1,0,2,High,Low Floor
0.45,sector 13,1,1,0,Old Property,house,936.0,0,0,0,Low,Low Floor
2.3,sector 81,3,4,3+,Relatively New,flat,1825.0,1,0,2,Medium,High Floor
1.02,sector 107,2,2,3,Relatively New,flat,1388.0,0,0,0,Medium,Mid Floor
3.3,sector 4,3,3,2,Old Property,house,2250.0,0,0,0,Low,Low Floor
1.49,sector 107,3,4,3+,Relatively New,flat,2137.0,1,1,2,High,Mid Floor
4.55,sector 67,4,4,3+,Relatively New,flat,2833.0,1,0,2,High,High Floor
9.5,sector 33,5,7,3+,Under Construction,house,4071.0,1,1,0,Medium,Low Floor
1.55,sector 86,3,3,3+,Relatively New,flat,1500.0,0,0,1,High,High Floor
2.25,sector 61,3,3,2,Under Construction,flat,1721.0,0,0,0,Low,Mid Floor
1.25,sector 70,3,3,3,Under Construction,flat,1688.0,0,0,0,Medium,High Floor
1.2,sector 37d,3,3,3,Relatively New,flat,1000.0,0,1,0,Medium,Mid Floor
1.9,sector 76,3,3,2,Under Construction,flat,1513.0,0,0,0,Medium,Low Floor
1.42,sector 83,4,4,3,Relatively New,flat,2000.0,1,0,0,Medium,Mid Floor
1.5,sector 33,3,3,3,Under Construction,flat,1403.0,0,0,0,Medium,Mid Floor
1.15,sector 37,3,3,3,Moderately Old,flat,1969.0,1,0,0,Low,Mid Floor
1.74,sector 56,3,3,3+,Old Property,flat,2400.0,1,0,2,Medium,Low Floor
1.41,sector 79,2,2,3,New Property,flat,1747.0,0,0,0,Medium,Mid Floor
0.75,sector 82a,2,2,2,Relatively New,flat,1000.0,0,0,0,Low,Low Floor
2.25,sector 81,3,3,3+,Relatively New,flat,1929.0,1,0,1,High,High Floor
0.6,sector 95,2,2,3,New Property,flat,1250.0,0,0,0,Low,Mid Floor
0.82,sector 92,3,3,3+,Relatively New,flat,1523.0,0,0,0,Low,High Floor
0.75,sohna road,2,2,2,Moderately Old,flat,1350.0,0,0,0,Medium,Mid Floor
2.65,sector 67,3,3,3,Relatively New,flat,2047.12,0,0,2,High,Low Floor
1.05,sector 37c,3,3,3,Relatively New,flat,1738.0,0,0,2,Medium,Mid Floor
2.09,sector 56,4,4,3+,Relatively New,flat,2300.0,0,0,2,Medium,Mid Floor
1.4,sector 71,3,3,2,Moderately Old,flat,1958.0,0,0,2,Medium,Low Floor
4.7,sector 57,3,3,2,Old Property,house,2160.0,1,0,0,Low,Low Floor
0.75,sector 69,2,2,2,Under Construction,flat,991.0,0,0,0,Low,Mid Floor
0.39,sector 92,3,3,3+,Relatively New,flat,713.0,0,0,0,Medium,Mid Floor
2.78,sector 104,4,4,3+,Relatively New,flat,2851.0,1,0,0,Medium,High Floor
2.25,sector 7,5,3,0,Old Property,house,148.0,0,0,0,Low,Low Floor
0.35,sector 2,2,2,2,Relatively New,flat,800.0,0,0,0,Low,Mid Floor
1.9,sector 72,3,3,3,Relatively New,flat,1975.0,0,0,0,Low,Mid Floor
4.4,sector 81,4,4,3+,New Property,flat,3700.0,1,0,1,Low,Mid Floor
1.0,sector 92,4,3,2,Relatively New,flat,2167.0,0,0,0,Low,Low Floor
5.7,sector 2,5,5,2,Old Property,house,4550.0,0,0,1,Medium,Low Floor
6.15,sector 109,5,5,3+,Relatively New,house,2250.0,1,1,2,Medium,Mid Floor
6.46,sector 14,5,5,2,Moderately Old,house,3420.0,1,0,2,Low,Mid Floor
0.66,sector 90,2,2,3,Relatively New,flat,1122.0,0,0,0,Medium,Mid Floor
11.29,sector 50,5,5,3+,Moderately Old,house,3240.0,0,0,0,Low,Low Floor
1.65,sector 90,4,4,3+,Moderately Old,flat,2139.0,1,0,2,Medium,High Floor
0.85,sector 104,2,2,3,Relatively New,flat,1611.0,0,0,0,Medium,High Floor
0.7,sector 112,2,2,2,Relatively New,flat,1498.0,0,0,0,Medium,Mid Floor
0.75,sector 92,3,4,3,Moderately Old,flat,1778.0,0,0,0,Medium,Low Floor
9.5,sector 33,6,6,3+,Moderately Old,house,4914.0,0,0,2,Low,Mid Floor
4.25,sector 59,3,4,3,Under Construction,flat,2077.0,0,0,0,Low,Mid Floor
0.7,sector 92,3,3,2,Under Construction,flat,140.0,0,0,0,Low,High Floor
0.26,sector 104,1,1,2,Relatively New,flat,301.0,0,0,0,Medium,Low Floor
1.55,sector 70,3,5,3,Relatively New,flat,1527.0,1,0,0,High,Mid Floor
0.9,sector 37c,3,3,3,Under Construction,flat,1500.0,0,0,0,Medium,Low Floor
2.6,sector 69,4,4,3+,Moderately Old,flat,2172.0,1,0,0,Low,Mid Floor
0.85,sector 82,2,2,2,Relatively New,flat,1294.0,0,0,0,Medium,Mid Floor
1.5,sector 52,4,4,3,Old Property,flat,1484.0,0,0,0,Medium,Mid Floor
1.4,sector 2,3,3,3+,Moderately Old,flat,1611.0,0,0,0,Medium,Mid Floor
1.12,sector 83,3,3,2,Moderately Old,flat,1500.0,0,0,2,Medium,High Floor
0.5,sector 86,2,2,1,Relatively New,flat,578.0,0,0,0,Low,Mid Floor
1.8,sector 69,3,3,3,Under Construction,flat,1893.0,0,0,0,Low,High Floor
1.15,sector 85,2,2,3+,Relatively New,flat,1380.0,0,1,0,High,High Floor
0.34,sector 84,2,2,1,Relatively New,flat,537.0,0,1,2,Medium,Low Floor
0.9,sector 81,3,3,0,Relatively New,flat,1780.0,0,0,0,Low,Mid Floor
1.3,sector 86,4,6,2,New Property,flat,2521.0,1,0,0,Medium,High Floor
1.1,sector 70,3,2,2,Relatively New,flat,1350.0,0,0,0,Low,Mid Floor
1.0,sector 2,3,7,3+,Moderately Old,house,1215.0,0,0,0,Low,Mid Floor
9.9,sector 25,5,5,2,Moderately Old,house,3375.0,0,0,2,Medium,Low Floor
5.6,sector 53,3,3,3+,Under Construction,flat,2617.0,0,0,0,Low,Low Floor
2.15,sector 47,3,4,3+,Moderately Old,flat,1950.0,1,0,0,Low,Mid Floor
0.78,sector 82,2,2,2,Relatively New,flat,1175.0,0,0,2,Medium,Low Floor
2.25,sector 52,3,3,3,New Property,house,1800.0,1,0,2,Low,Mid Floor
3.83,sector 58,3,4,2,Relatively New,flat,2000.0,1,0,2,High,Mid Floor
1.33,sector 89,3,3,3,Under Construction,flat,1423.0,0,0,0,Medium,Mid Floor
2.69,sector 79,3,4,3+,New Property,flat,2152.0,1,0,0,Low,Mid Floor
4.25,sector 41,2,9,3+,Moderately Old,house,1620.0,1,0,2,Low,Mid Floor
0.95,sector 2,2,3,2,Old Property,flat,1444.0,0,0,2,Low,Low Floor
1.29,sector 90,3,3,3+,Relatively New,flat,1817.0,1,0,0,High,High Floor
2.5,sector 70a,3,3,3+,Relatively New,flat,1723.0,0,0,2,High,High Floor
1.75,sector 104,3,4,3+,Relatively New,flat,2036.0,1,0,2,Low,High Floor
0.82,sector 104,2,2,3,Relatively New,flat,86.0,0,0,0,Medium,High Floor
1.01,sector 84,3,3,2,Relatively New,flat,1475.0,0,0,0,Low,High Floor
1.04,sector 85,2,3,3+,Relatively New,flat,1576.0,0,1,0,Medium,Mid Floor
1.35,sector 7,4,5,0,Old Property,house,330.0,0,0,0,Low,Mid Floor
1.7,sector 107,4,5,3+,Relatively New,flat,2505.0,1,0,0,Medium,Mid Floor
3.25,sector 108,3,3,3,Relatively New,flat,2072.04,0,0,0,Medium,High Floor
2.0,sector 28,3,3,1,Old Property,flat,1240.0,0,0,2,Medium,High Floor
0.65,sector 105,3,2,1,Relatively New,house,720.0,0,0,0,Low,Low Floor
0.43,sector 86,2,2,1,New Property,flat,557.0,0,0,0,Medium,Mid Floor
1.71,sector 89,3,2,0,New Property,flat,1423.0,0,0,0,Low,Mid Floor
1.52,sector 17a,2,2,1,Old Property,house,105.0,0,0,0,Low,Low Floor
2.55,sector 43,3,3,2,Relatively New,house,1935.0,0,0,2,Medium,Mid Floor
0.98,sector 108,2,3,3,Relatively New,flat,978.23,0,0,0,Medium,Mid Floor
25.0,sector 54,4,4,3+,Moderately Old,house,8036.0,1,1,0,Low,Low Floor
0.42,sector 105,3,2,1,Moderately Old,flat,833.0,0,0,0,Low,Low Floor
0.45,sector 37d,2,3,2,Under Construction,flat,656.0,0,0,0,Low,Mid Floor
1.7,sector 92,3,4,2,Under Construction,flat,1475.0,0,0,0,Medium,Low Floor
0.97,sector 106,2,2,3,New Property,flat,1200.0,0,0,2,High,Mid Floor
0.8,sector 81,2,2,2,Under Construction,flat,607.0,0,0,0,Low,Mid Floor
1.8,sector 102,3,3,3,Relatively New,flat,1531.0,0,0,0,Medium,Low Floor
5.75,sector 54,3,4,3,Relatively New,flat,2329.07,1,0,1,High,High Floor
0.5,sector 90,2,2,2,Under Construction,flat,796.0,0,0,0,Low,Low Floor
1.33,sector 83,4,4,3,Relatively New,flat,2193.0,1,0,0,Low,Mid Floor
8.9,sector 26,4,4,3+,Old Property,house,2700.0,1,1,0,Medium,Low Floor
0.85,sector 89,2,2,2,Under Construction,flat,1226.0,0,0,0,Low,Low Floor
0.8,sector 92,4,3,2,Relatively New,flat,1719.0,0,0,0,Low,Mid Floor
1.0,sector 12,3,7,3+,Moderately Old,house,3750.0,0,1,0,Low,Mid Floor
1.6,sector 86,3,3,3+,Relatively New,flat,1548.0,0,0,2,High,Mid Floor
1.1,sector 85,2,2,3,Relatively New,flat,1173.0,0,0,0,Medium,High Floor
7.0,sector 65,3,3,2,Moderately Old,flat,4278.0,0,1,0,Medium,High Floor
1.75,sector 90,4,4,3+,Relatively New,flat,2005.0,0,0,0,Low,Mid Floor
0.89,sector 81,1,1,0,Relatively New,house,1095.0,0,0,0,Low,Low Floor
0.55,sector 56,1,2,1,Old Property,flat,678.0,0,0,0,Medium,Low Floor
1.48,sector 84,3,3,2,New Property,flat,1624.0,1,1,2,Medium,Low Floor
0.82,sector 107,2,2,3+,Relatively New,flat,1236.0,0,0,0,Medium,Mid Floor
2.47,sector 86,4,4,3+,Moderately Old,house,2800.0,1,0,2,Medium,Low Floor
3.5,sector 17,2,6,3+,Old Property,house,1440.0,0,0,0,Low,Mid Floor
1.25,sector 102,2,2,2,Relatively New,flat,1100.0,0,0,0,Medium,Low Floor
0.9,sector 108,2,3,3,Relatively New,flat,1161.0,1,0,0,Medium,Mid Floor
0.45,sector 4,2,2,1,Relatively New,flat,944.0,0,0,0,Low,Low Floor
1.66,sector 69,3,3,2,Relatively New,flat,1482.0,0,0,0,High,Low Floor
1.25,sector 79,3,3,3,Relatively New,flat,1154.0,0,0,0,High,High Floor
8.5,sector 50,4,4,3,Moderately Old,flat,11111.0,1,0,0,Low,Mid Floor
2.6,sector 24,4,4,3+,Relatively New,house,1080.0,0,1,1,Low,Mid Floor
0.32,sohna road,2,2,1,New Property,flat,1000.0,0,0,0,Low,High Floor
0.25,sector 3 phase 3 extension,2,2,2,Relatively New,flat,778.0,0,0,0,Low,Low Floor
4.25,sector 110,3,3,3,Under Construction,flat,1600.03,0,0,0,Low,Mid Floor
0.98,sector 37c,3,4,3,Relatively New,flat,1660.0,1,0,0,Low,Mid Floor
1.65,sector 108,3,4,3,Moderately Old,flat,1771.32,0,0,2,Medium,Mid Floor
0.55,sector 3,1,1,0,Moderately Old,house,750.0,0,0,0,Low,Low Floor
3.95,sector 62,3,3,3,New Property,flat,2876.0,1,0,2,Low,High Floor
2.05,sector 56,4,4,3+,Relatively New,flat,2500.0,0,0,2,Medium,Mid Floor
1.08,sector 92,4,4,2,New Property,flat,1891.0,1,0,0,Medium,High Floor
1.08,sector 37d,3,3,3,Relatively New,flat,1700.0,0,0,0,High,Mid Floor
1.3,sector 70,3,3,3,Under Construction,flat,1865.0,0,0,2,Medium,High Floor
3.45,sector 81,4,4,3+,Moderately Old,flat,2527.0,1,0,0,Medium,High Floor
0.96,sector 90,3,4,3,New Property,flat,1697.0,1,0,0,Medium,Mid Floor
1.75,sector 102,3,3,3+,Relatively New,flat,1465.0,0,0,0,Low,Low Floor
1.0,sector 71,1,1,1,Moderately Old,flat,869.0,0,0,0,Medium,Mid Floor
1.7,sector 109,3,3,3,Relatively New,flat,1550.0,0,0,0,Medium,High Floor
5.7,sector 109,4,5,3+,Relatively New,house,5400.0,1,1,0,High,Mid Floor
0.22,sector 110,2,1,1,Relatively New,flat,543.0,0,0,0,Low,Low Floor
2.35,sector 81,3,4,3+,Relatively New,flat,2513.0,1,0,2,Medium,Mid Floor
0.94,sector 9a,3,3,2,Moderately Old,flat,1722.0,0,0,2,Medium,Mid Floor
2.22,sector 81,3,4,3+,Relatively New,flat,2407.0,1,0,2,High,High Floor
2.55,sector 70a,3,3,3,New Property,flat,2000.0,1,0,2,High,High Floor
1.54,sector 90,4,4,3+,Moderately Old,flat,2200.0,1,0,2,Medium,High Floor
0.98,sector 104,3,3,3,Relatively New,flat,1490.0,0,0,0,Medium,High Floor
4.1,sector 36a,3,4,3,New Property,flat,2820.0,0,0,1,Low,High Floor
1.6,sector 15,3,3,3+,Moderately Old,flat,1611.0,0,0,0,Medium,Low Floor
1.87,sector 109,3,4,0,Relatively New,house,2150.0,0,0,0,Low,High Floor
0.3,sector 107,2,2,1,Relatively New,flat,544.0,0,0,0,Medium,Mid Floor
0.32,sohna road,2,2,1,Relatively New,flat,744.000768,0,0,0,Medium,Mid Floor
1.25,sector 37c,3,3,3,Relatively New,flat,1563.0,0,0,0,Low,Low Floor
1.28,sector 79,3,3,3,Relatively New,flat,1362.0,0,0,0,High,Mid Floor
4.0,sector 70a,4,4,3+,Relatively New,house,6000.0,1,0,0,High,Low Floor
1.35,sector 71,4,4,3,Moderately Old,flat,2127.0,1,0,0,Low,Mid Floor
11.0,sector 54,4,5,3+,Relatively New,flat,3444.0,1,0,0,Low,Mid Floor
7.0,sector 82,4,4,3+,Relatively New,house,3900.0,1,0,1,Medium,Mid Floor
0.8,sector 5,2,2,1,Old Property,house,900.0,0,0,0,Low,Low Floor
0.9,sector 84,3,3,3+,Relatively New,flat,1525.0,0,0,0,High,High Floor
0.99,sector 78,2,2,3,Under Construction,flat,1467.0,0,0,0,Low,High Floor
1.2,sector 33,2,2,3+,Under Construction,flat,1111.0,0,0,0,Medium,Mid Floor
3.72,sector 113,5,4,3+,New Property,flat,2956.0,0,0,1,Low,Low Floor
1.6,sector 99a,3,3,3,Under Construction,flat,1810.0,0,0,0,Low,Mid Floor
1.6,sector 70a,4,4,3,Relatively New,flat,1600.0,0,0,0,Low,Low Floor
0.4,sector 2,1,1,1,Moderately Old,flat,450.0,0,0,2,Low,Mid Floor
1.85,sector 56,3,4,3,Old Property,flat,2278.0,1,0,0,Medium,Mid Floor
0.9,sector 92,4,5,3+,Relatively New,flat,1692.0,1,0,0,Medium,High Floor
4.7,sector 22,6,6,3+,Old Property,house,2368.0,0,1,2,Medium,Low Floor
1.45,sector 107,3,4,3+,Relatively New,flat,1900.0,1,0,0,Medium,Mid Floor
1.65,sector 90,4,4,3+,Relatively New,flat,2214.0,0,0,2,High,High Floor
3.25,sector 81,4,4,3+,Moderately Old,flat,2491.0,1,0,0,Low,High Floor
2.05,sector 69,4,4,2,Relatively New,flat,1889.0,0,0,0,High,Low Floor
2.35,sector 113,3,3,3,New Property,flat,2210.0,1,0,0,High,High Floor
0.8,sector 7,3,2,1,Relatively New,flat,1100.0,0,0,2,Medium,Mid Floor
1.62,sector 70,3,5,3,Relatively New,flat,1527.0,1,0,0,Low,Mid Floor
1.05,sector 68,2,2,2,New Property,flat,1200.0,0,0,2,Medium,High Floor
0.79,sector 92,3,2,2,New Property,flat,1175.0,0,0,0,Low,High Floor
0.4,sector 104,2,2,1,Relatively New,flat,515.0,0,0,0,Low,High Floor
1.15,sector 88a,2,2,1,New Property,flat,120.0,0,0,0,Medium,High Floor
1.3,sector 71,4,4,3,Moderately Old,flat,2127.0,1,0,0,Medium,Mid Floor
4.5,sector 9a,9,9,3+,Relatively New,house,3150.0,0,0,2,Low,Mid Floor
6.75,sector 50,4,4,0,Moderately Old,flat,3395.0,0,0,0,Low,Mid Floor
11.0,sector 54,4,6,3,Relatively New,flat,2826.0,1,0,1,Medium,Mid Floor
2.1,sector 77,3,3,3,New Property,flat,1833.0,1,0,0,Low,High Floor
6.4,sector 48,3,4,3,Relatively New,house,2592.0,1,1,2,Medium,Low Floor
2.2,sector 14,3,4,3+,Old Property,flat,1956.0,0,0,0,Low,Mid Floor
1.08,sector 68,2,2,3,Relatively New,flat,1130.0,0,0,2,Medium,Low Floor
0.8,sector 82,2,2,3,Relatively New,flat,1383.0,0,0,0,Low,Mid Floor
1.73,sector 65,3,3,3,Relatively New,flat,1262.0,1,0,1,High,Mid Floor
8.5,sector 43,5,5,3,Moderately Old,house,2700.0,1,0,2,Medium,Mid Floor
1.72,sector 37d,3,3,3+,Relatively New,flat,1983.0,1,0,0,Low,Mid Floor
0.25,sohna road,2,2,1,Relatively New,flat,587.0,0,0,0,Low,Low Floor
2.22,sector 68,3,2,3,Relatively New,flat,1403.0,0,0,0,Low,Mid Floor
2.2,sector 102,3,4,3+,Moderately Old,flat,1945.0,1,0,0,Medium,Mid Floor
2.5,sector 61,3,3,1,Under Construction,flat,1549.0,0,0,0,Medium,Low Floor
0.65,sector 104,3,2,2,New Property,flat,848.0,0,0,0,Medium,Mid Floor
0.67,sector 86,2,2,1,Relatively New,flat,1231.0,0,0,0,Medium,Mid Floor
5.0,sector 65,3,3,3,Relatively New,flat,3245.0,1,0,2,High,Low Floor
1.77,sector 37d,4,3,3,Relatively New,flat,2025.0,1,0,0,Low,High Floor
7.5,sector 14,3,3,2,Old Property,house,4518.0,1,0,2,Low,Low Floor
1.39,sector 56,3,2,3,Old Property,flat,1750.0,1,0,2,Medium,Mid Floor
0.6,sector 104,4,3,1,Moderately Old,house,1170.0,0,0,0,Low,Low Floor
1.0,sector 108,2,2,2,Relatively New,flat,2060.0,0,0,0,Low,Low Floor
1.8,sector 70,3,4,3,New Property,flat,1527.0,1,0,0,Low,Low Floor
2.0,sector 79,3,4,3+,Relatively New,flat,1963.0,1,0,0,Medium,Mid Floor
0.8,sector 4,5,4,3,Under Construction,house,146.0,0,0,0,Low,Mid Floor
0.52,sector 107,3,2,2,Relatively New,flat,717.0,0,0,0,Low,Mid Floor
6.5,sector 14,5,5,0,Moderately Old,house,2500.0,0,0,0,Low,Mid Floor
1.1,sector 70a,2,2,3+,New Property,flat,1312.0,0,0,0,Medium,Mid Floor
1.9,sector 109,4,4,3,Relatively New,flat,2765.0,1,0,0,High,Mid Floor
2.6,sector 104,4,4,3+,Relatively New,flat,3064.0,1,0,2,High,High Floor
1.45,sector 88a,2,2,3+,Relatively New,flat,133.0,0,0,1,Medium,Mid Floor
1.9,sector 103,3,4,3+,Relatively New,flat,3716.0,1,0,2,Low,Mid Floor
1.8,sector 70,3,5,3,New Property,flat,2167.0,0,0,0,Medium,Low Floor
0.65,sector 71,2,2,1,Relatively New,flat,590.0,0,0,2,Low,Mid Floor
1.5,sector 88a,3,3,3+,New Property,flat,1674.0,0,0,0,Low,High Floor
7.35,sector 48,4,5,2,Moderately Old,house,3222.0,1,1,2,Medium,Low Floor
1.8,sector 92,4,5,0,Relatively New,house,2360.0,0,0,0,Low,High Floor
2.0,sector 43,3,3,2,Moderately Old,flat,1273.0,0,0,0,Medium,Mid Floor
0.7,sector 90,2,3,2,Relatively New,flat,1502.0,0,0,2,Low,Mid Floor
0.97,sector 108,2,2,3,Relatively New,flat,1167.0,1,0,0,High,Mid Floor
1.88,sector 109,4,5,3,Relatively New,flat,2765.0,0,0,0,Medium,Mid Floor
1.1,sector 4,3,4,1,Moderately Old,house,990.0,0,0,0,Low,Low Floor
1.55,sector 56,3,3,3,Old Property,flat,1810.0,1,0,2,Medium,Mid Floor
0.9,sohna road,3,2,0,Under Construction,flat,1120.0,0,0,0,Medium,Low Floor
0.95,sector 92,4,3,2,New Property,flat,1983.0,0,0,0,Medium,High Floor
0.85,sector 92,3,2,2,Relatively New,flat,1300.0,0,0,0,Low,High Floor
7.0,sector 54,4,6,3+,Moderately Old,flat,2715.0,1,1,2,Medium,High Floor
18.0,sector 66,5,6,3+,Relatively New,house,4500.0,1,1,1,High,Mid Floor
4.35,sector 46,3,8,2,Relatively New,house,1836.0,0,0,2,Low,Mid Floor
0.9,sohna road,2,2,2,Relatively New,flat,1105.0,0,0,1,Medium,High Floor
12.0,sector 50,3,4,2,Moderately Old,house,3240.0,1,0,2,Medium,Low Floor
0.74,sohna road,2,2,3+,Relatively New,flat,1367.0,0,0,0,Medium,High Floor
3.75,sector 57,3,4,3,Moderately Old,house,1620.0,1,1,2,Low,Low Floor
1.38,sector 102,3,3,3,Relatively New,flat,1315.0,1,0,2,Medium,Mid Floor
1.24,sector 28,2,2,3+,Moderately Old,flat,1050.0,0,0,2,High,High Floor
0.75,sector 36,3,1,0,New Property,house,1081.0,0,0,0,Low,Low Floor
3.2,sector 65,4,3,2,Relatively New,flat,3150.0,1,0,0,Low,Low Floor
0.74,sector 69,3,3,1,Under Construction,flat,1210.0,1,0,0,Medium,Mid Floor
1.25,sector 78,4,4,3,Relatively New,flat,2300.0,1,0,0,Medium,Low Floor
1.85,sector 85,3,4,3,Relatively New,flat,2179.0,1,0,2,Low,Low Floor
1.19,sector 83,3,3,2,Relatively New,flat,1778.0,1,0,2,Low,Mid Floor
1.5,sector 89,3,3,3,New Property,flat,1944.0,0,0,0,Low,Low Floor
1.35,sector 81,3,3,3+,Moderately Old,flat,1438.0,0,1,2,Medium,Mid Floor
1.05,sector 85,2,2,3,Relatively New,flat,1484.0,0,0,0,Low,High Floor
2.7,sector 23,5,5,2,Old Property,house,1450.0,0,0,2,Low,Mid Floor
0.42,sector 37c,2,2,2,Relatively New,flat,833.0,0,0,0,Low,Mid Floor
16.0,sector 26,4,4,3,Relatively New,house,4235.0,0,1,0,Low,Low Floor
1.35,sector 83,3,3,3,Relatively New,flat,1387.0,1,0,0,Low,Mid Floor
1.1,sector 83,3,3,3,Relatively New,flat,1570.0,1,0,2,Medium,High Floor
0.29,sector 17,2,1,0,Old Property,house,891.0,0,0,0,Low,Low Floor
0.8,sector 69,1,1,0,New Property,house,763.0,0,0,0,Low,Low Floor
8.5,sector 48,4,6,3,Old Property,house,3240.0,1,0,0,Low,Mid Floor
1.25,sector 9a,4,3,3,Old Property,flat,2007.0,1,0,2,Low,Low Floor
1.32,sector 69,3,3,1,Relatively New,flat,1419.0,0,0,2,Medium,High Floor
8.5,sector 48,4,5,3+,Moderately Old,house,4000.0,1,0,2,Low,Low Floor
1.15,sector 33,2,2,3,Relatively New,house,1400.0,0,0,2,Medium,Low Floor
2.25,sector 46,4,3,3,Relatively New,house,90.0,0,0,2,Low,Mid Floor
1.4,sector 77,3,3,3,Relatively New,flat,1735.0,0,0,0,Low,Mid Floor
0.95,sector 37c,3,3,3+,New Property,flat,1697.0,0,0,0,Medium,Low Floor
6.25,sohna road road,3,3,0,Moderately Old,house,9000.0,0,0,0,Low,Low Floor
5.9,sector 65,3,3,3,Moderately Old,flat,3043.0,0,0,1,Low,Mid Floor
0.95,sohna road,2,2,3+,New Property,flat,1175.97,0,0,0,Medium,Mid Floor
12.5,sector 50,6,5,3,Moderately Old,house,3078.0,1,0,2,Low,Mid Floor
1.57,sector 74,2,2,3+,Relatively New,flat,1300.0,0,0,0,Medium,Mid Floor
5.9,gwal pahari,4,4,3+,New Property,flat,4842.0,1,1,2,High,High Floor
1.31,sector 85,2,2,2,Relatively New,flat,1822.0,1,0,0,Medium,Mid Floor
4.75,sector 4,5,5,1,Old Property,house,5067.0,1,0,2,Low,Low Floor
1.56,sector 99a,3,5,3,New Property,flat,1807.0,1,0,0,Low,Mid Floor
2.5,sector 33,3,3,2,Under Construction,flat,2093.0,0,0,0,Medium,Low Floor
2.0,sector 7,2,2,1,Relatively New,house,1800.0,0,0,0,Low,Low Floor
0.82,sector 92,3,3,3+,Relatively New,flat,1221.18,0,0,0,Medium,High Floor
1.12,sector 103,3,4,3+,New Property,flat,1734.0,1,0,0,Low,Mid Floor
1.6,sector 108,3,4,3+,Relatively New,flat,1500.29,1,0,2,Medium,Mid Floor
0.75,sector 69,2,2,2,Moderately Old,flat,1100.0,0,0,0,Low,Mid Floor
